Stream_KM,Longitude,Latitude,TopoWest,TopoSouth,TopoEast,,VEG0_RT,VEG1_RT,VEG2_RT,VEG3_RT,VEG4_RT,VEG5_RT,VEG6_RT,VEG7_RT,VEG8_RT,VEG9_RT,VEG10_RT,VEG0_LT,VEG1_LT,VEG2_LT,VEG3_LT,VEG4_LT,VEG5_LT,VEG6_LT,VEG7_LT,VEG8_LT,VEG9_LT,ELEV_V0_RT,ELEV_V1_RT,ELEV_V2_RT,ELEV_V3_RT,ELEV_V4_RT,ELEV_V5_RT,ELEV_V6_RT,ELEV_V7_RT,ELEV_V8_RT,ELEV_V9_RT,ELEV_V0_LT,ELEV_V1_LT,ELEV_V2_LT,ELEV_V3_LT,ELEV_V4_LT,ELEV_V5_LT,ELEV_V6_LT,ELEV_V7_LT,ELEV_V8_LT,ELEV_V9_LT,LAT_V0_RT,LAT_V1_RT,LAT_V2_RT,LAT_V3_RT,LAT_V4_RT,LAT_V5_RT,LAT_V6_RT,LAT_V7_RT,LAT_V8_RT,LAT_V9_RT,LAT_V0_LT,LAT_V1_LT,LAT_V2_LT,LAT_V3_LT,LAT_V4_LT,LAT_V5_LT,LAT_V6_LT,LAT_V7_LT,LAT_V8_LT,LAT_V9_LT,LON_V0_RT,LON_V1_RT,LON_V2_RT,LON_V3_RT,LON_V4_RT,LON_V5_RT,LON_V6_RT,LON_V7_RT,LON_V8_RT,LON_V9_RT,LON_V0_LT,LON_V1_LT,LON_V2_LT,LON_V3_LT,LON_V4_LT,LON_V5_LT,LON_V6_LT,LON_V7_LT,LON_V8_LT,LON_V9_LT
94.95,16.02023009,47.49361067,27.34987578,21.61477894,10.83467884,1750,0,241,142,142,142,142,187,187,282,282,0,0,242,242,181,242,242,165,165,165,165,0,678,678,678,678,678,679,680,680,679,0,676,677,678,680,682,685,689,692,695,0,47.48063742,47.48062673,47.48061604,47.48060535,47.48059466,47.48058397,47.48057327,47.48056258,47.48055189,0,47.4806588,47.48066949,47.48068019,47.48069088,47.48070157,47.48071226,47.48072295,47.48073364,47.48074433,0,16.04690444,16.04683999,16.04677555,16.0467111,16.04664666,16.04658221,16.04651777,16.04645333,16.04638888,0,16.04703332,16.04709777,16.04716221,16.04722666,16.0472911,16.04735555,16.04741999,16.04748444,16.04754888
94.9,16.02079885,47.49338835,21.51240422,45,10.11395215,1749,0,241,241,142,142,142,142,142,142,278,0,0,242,242,181,181,242,242,242,165,165,0,675,676,676,676,676,676,676,676,677,0,676,676,676,677,678,681,683,686,690,0,47.48020697,47.48018123,47.48015549,47.48012975,47.48010402,47.48007828,47.48005254,47.48002681,47.48000107,0,47.48025844,47.48028418,47.48030992,47.48033565,47.48036139,47.48038713,47.48041286,47.4804386,47.48046434,0,16.04714222,16.04708781,16.0470334,16.04697899,16.04692458,16.04687017,16.04681576,16.04676136,16.04670695,0,16.04725104,16.04730545,16.04735986,16.04741427,16.04746868,16.04752309,16.0475775,16.0476319,16.04768631
94.85,16.02139268,47.49318775,19.00870712,20.25903866,9.137151014,1748,0,241,241,142,142,142,142,142,142,142,0,0,242,181,181,181,181,165,165,165,165,0,673,674,674,674,674,674,674,674,674,0,673,674,675,676,678,681,684,687,689,0,47.47983477,47.4798108,47.47978682,47.47976284,47.47973886,47.47971488,47.47969091,47.47966693,47.47964295,0,47.47988273,47.47990671,47.47993068,47.47995466,47.47997864,47.48000262,47.48002659,47.48005057,47.48007455,0,16.0475088,16.04745267,16.04739654,16.04734041,16.04728428,16.04722815,16.04717202,16.04711589,16.04705976,0,16.04762107,16.0476772,16.04773333,16.04778946,16.04784559,16.04790172,16.04795785,16.04801398,16.04807011
94.8,16.02197775,47.49297574,26.56505118,20.88199747,7.203647287,1747,0,241,142,142,142,142,142,165,165,165,0,0,242,242,181,181,181,181,181,181,181,0,672,672,672,673,673,673,673,677,680,0,672,672,672,672,673,673,674,674,675,0,47.47939889,47.47937794,47.47935698,47.47933602,47.47931507,47.47929411,47.47927315,47.47925219,47.47923124,0,47.4794408,47.47946176,47.47948272,47.47950367,47.47952463,47.47954559,47.47956654,47.4795875,47.47960846,0,16.04754242,16.04748371,16.04742501,16.04736631,16.04730761,16.04724891,16.0471902,16.0471315,16.0470728,0,16.04765982,16.04771852,16.04777723,16.04783593,16.04789463,16.04795334,16.04801204,16.04807074,16.04812944
94.75,16.02255395,47.49275262,17.52556837,23.36434448,7.53368117,1746,0,241,101,101,101,101,101,101,165,165,0,0,242,242,181,181,181,181,165,165,165,0,669,671,670,670,670,670,670,670,672,0,671,671,671,671,671,672,673,675,677,0,47.47901152,47.47898295,47.47895437,47.4789258,47.47889723,47.47886866,47.47884009,47.47881151,47.47878294,0,47.47906866,47.47909724,47.47912581,47.47915438,47.47918295,47.47921152,47.4792401,47.47926867,47.47929724,0,16.04789942,16.04784818,16.04779694,16.04774571,16.04769447,16.04764323,16.047592,16.04754076,16.04748952,0,16.04800189,16.04805313,16.04810437,16.0481556,16.04820684,16.04825808,16.04830931,16.04836055,16.04841179
94.7,16.02317768,47.4926547,15.89152118,22.87805803,45,1745,0,101,101,101,101,101,101,101,101,165,0,0,181,181,181,181,181,165,165,165,165,0,668,668,669,669,669,669,669,669,670,0,669,669,669,669,669,669,672,674,677,0,47.47863893,47.4786302,47.47862146,47.47861273,47.47860399,47.47859526,47.47858652,47.47857779,47.47856905,0,47.4786564,47.47866514,47.47867387,47.47868261,47.47869134,47.47870008,47.47870881,47.47871755,47.47872628,0,16.04816651,16.04810143,16.04803635,16.04797127,16.04790619,16.04784111,16.04777603,16.04771095,16.04764587,0,16.04829667,16.04836176,16.04842684,16.04849192,16.048557,16.04862208,16.04868716,16.04875224,16.04881732
94.65,16.02381907,47.49255684,14.97832965,19.92133212,11.20079779,1744,0,241,241,101,101,101,101,165,165,165,0,0,181,181,181,181,181,165,165,165,165,0,666,667,667,667,667,667,667,667,667,0,667,667,667,668,670,673,675,677,679,0,47.47823056,47.47820399,47.47817743,47.47815087,47.47812431,47.47809775,47.47807119,47.47804463,47.47801806,0,47.47828368,47.47831024,47.4783368,47.47836336,47.47838993,47.47841649,47.47844305,47.47846961,47.47849617,0,16.04847713,16.0484236,16.04837006,16.04831652,16.04826298,16.04820944,16.0481559,16.04810237,16.04804883,0,16.04858421,16.04863775,16.04869129,16.04874483,16.04879836,16.0488519,16.04890544,16.04895898,16.04901252
94.6,16.02442554,47.49239126,14.40863419,20.25903866,26.56505118,1743,0,241,241,101,101,101,101,165,165,165,0,0,181,181,181,181,181,165,165,165,165,0,665,665,665,665,665,665,664,665,668,0,666,666,665,666,667,668,671,674,676,0,47.47781333,47.47778213,47.47775093,47.47771973,47.47768854,47.47765734,47.47762614,47.47759494,47.47756374,0,47.47787572,47.47790692,47.47793812,47.47796932,47.47800052,47.47803171,47.47806291,47.47809411,47.47812531,0,16.04870292,16.04865513,16.04860734,16.04855956,16.04851177,16.04846398,16.04841619,16.04836841,16.04832062,0,16.04879849,16.04884628,16.04889407,16.04894186,16.04898965,16.04903743,16.04908522,16.04913301,16.0491808
94.55,16.02492179,47.49209265,14.40863419,21.2630155,10.47961699,1742,0,241,101,101,101,101,101,101,101,181,0,0,165,165,165,165,165,165,165,165,165,0,664,664,664,664,664,664,663,663,663,0,663,666,669,672,675,677,680,684,685,0,47.47747052,47.47745303,47.47743554,47.47741805,47.47740056,47.47738308,47.47736559,47.4773481,47.47733061,0,47.47750549,47.47752298,47.47754047,47.47755795,47.47757544,47.47759293,47.47761042,47.4776279,47.47764539,0,16.04907696,16.04901584,16.04895471,16.04889359,16.04883247,16.04877135,16.04871023,16.04864911,16.04858798,0,16.0491992,16.04926032,16.04932145,16.04938257,16.04944369,16.04950481,16.04956593,16.04962706,16.04968818
94.5,16.02548838,47.49185856,14.54520274,22.89726312,9.741228528,1741,0,101,101,101,101,101,181,181,181,181,0,0,162,162,165,165,165,165,165,165,165,0,662,662,662,662,661,662,663,665,668,0,662,661,663,666,668,671,673,676,678,0,47.47706133,47.47706883,47.47707633,47.47708383,47.47709133,47.47709883,47.47710632,47.47711382,47.47712132,0,47.47704633,47.47703883,47.47703133,47.47702383,47.47701633,47.47700883,47.47700133,47.47699383,47.47698633,0,16.04907983,16.04901441,16.048949,16.04888359,16.04881818,16.04875276,16.04868735,16.04862194,16.04855653,0,16.04921065,16.04927607,16.04934148,16.04940689,16.0494723,16.04953772,16.04960313,16.04966854,16.04973395
