Stream_KM,Elevation,Gradient,BottomWidth,ChannelAngleZ ,Mannings_n,SedThermalConductivity,SedThermalDiffusivity,SedHyporheicThickness,%HyporheicExchange,Porosity
94.95,792,0.08,5,0.15,0.04,2,0.0064,0.1,0.01,0.2
94.9,789,0.06,5,0.15,0.04,2,0.0064,0.1,0.01,0.2
94.85,787,0.04,5,0.15,0.04,2,0.0064,0.1,0.01,0.2
94.8,785,0.04,5,0.15,0.04,2,0.0064,0.1,0.01,0.2
94.75,780,0.1,5,0.15,0.04,2,0.0064,0.1,0.01,0.2
94.7,776,0.08,5,0.15,0.04,2,0.0064,0.1,0.01,0.2
94.65,773,0.06,5,0.15,0.04,2,0.0064,0.1,0.01,0.2
94.6,770,0.06,5,0.15,0.04,2,0.0064,0.1,0.01,0.2
94.55,768,0.04,5,0.15,0.04,2,0.0064,0.1,0.01,0.2
94.5,766,0.04,5,0.15,0.04,2,0.0064,0.1,0.01,0.2
94.45,763,0.06,5,0.15,0.04,2,0.0064,0.1,0.01,0.2
94.4,761,0.04,5,0.15,0.04,2,0.0064,0.1,0.01,0.2
94.35,758,0.06,5,0.15,0.04,2,0.0064,0.1,0.01,0.2
94.3,756,0.04,5,0.15,0.04,2,0.0064,0.1,0.01,0.2
94.25,753,0.06,5,0.15,0.04,2,0.0064,0.1,0.01,0.2
94.2,751,0.04,5,0.15,0.04,2,0.0064,0.1,0.01,0.2
94.15,748,0.06,5,0.15,0.04,2,0.0064,0.1,0.01,0.2
94.1,747,0.02,5,0.15,0.04,2,0.0064,0.1,0.01,0.2
94.05,744,0.06,5,0.15,0.04,2,0.0064,0.1,0.01,0.2
94,741,0.06,5,0.15,0.04,2,0.0064,0.1,0.01,0.2
93.95,739,0.04,5,0.15,0.04,2,0.0064,0.1,0.01,0.2
93.9,736,0.06,5,0.15,0.04,2,0.0064,0.1,0.01,0.2
93.85,733,0.06,5,0.15,0.04,2,0.0064,0.1,0.01,0.2
93.8,731,0.04,5,0.15,0.04,2,0.0064,0.1,0.01,0.2
93.75,730,0.02,5,0.15,0.04,2,0.0064,0.1,0.01,0.3
93.7,727,0.06,5,0.15,0.04,2,0.0064,0.1,0.01,0.3
93.65,727,0.01,5,0.15,0.04,2,0.0064,0.1,0.01,0.3
93.6,723,0.08,5,0.15,0.04,2,0.0064,0.1,0.01,0.3
93.55,722,0.02,5,0.15,0.04,2,0.0064,0.1,0.01,0.3
