DateTime,Cloudiness (0 - 1),Wind Speed (m/s),Relative Humidity (0 - 1),Air Temp (*C)
07/01/2013 0:00,1,0.65999975,0.80423,10.583
07/01/2013 1:00,0.999899937,0.61138775,0.76821,11.335
07/01/2013 2:00,1,0.92923475,0.79572,10.559
07/01/2013 3:00,0.999899937,1.00402225,0.79498,10.218
07/01/2013 4:00,0.998098796,0.459943,0.88824,8.501
07/01/2013 5:00,0.95447118,0.8881015,0.87713,8.969
07/01/2013 6:00,0.752843562,1.217831378,0.75321,12.301
07/01/2013 7:00,0.588039208,0.339650804,0.61971,14.864
07/01/2013 8:00,0.422234267,0.438851091,0.58547,16.698
07/01/2013 9:00,0.240419171,1.04452803,0.57685,17.601
07/01/2013 10:00,0.685901196,0.803056418,0.58828,17.53
07/01/2013 11:00,0.618458495,0.91845823,0.54975,18.743
07/01/2013 12:00,0.545212134,0.751605073,0.51704,19.314
07/01/2013 13:00,0.230813112,0.82585608,0.50692,20.864
07/01/2013 14:00,0.368500243,0.699797851,0.53429,20.721
07/01/2013 15:00,0.433641553,0.567058013,0.4655,22.492
07/01/2013 16:00,0.668290017,0.34028325,0.52343,21.222
07/01/2013 17:00,0.618258377,0.7142205,0.50387,21.414
07/01/2013 18:00,0.749641514,0.871402881,0.49727,21.677
07/01/2013 19:00,0.891631382,0.734808658,0.55858,20.339
07/01/2013 20:00,0.99639772,0.001869688,0.73761,17.815
07/01/2013 21:00,1,0,0.81451,16.508
07/01/2013 22:00,1,0,0.87755,13.741
07/01/2013 23:00,0.999899937,0.3683285,0.91088,12.565
07/02/2013 0:00,1,0.38702525,0.92416,11.843
07/02/2013 1:00,0.999899937,0,0.95068,10.583
07/02/2013 2:00,1,0,0.94793,10.315
07/02/2013 3:00,0.999899937,0,0.96711,9.73
07/02/2013 4:00,0.99819886,0,0.9718,9.24
07/02/2013 5:00,0.959274218,0,0.97952,9.411
07/02/2013 6:00,0.771055094,0.185099075,0.9277,12.011
07/02/2013 7:00,0.603248894,0.0467422,0.78318,15.674
07/02/2013 8:00,0.440846119,0.785647061,0.68418,18.291
07/02/2013 9:00,0.301157643,1.209086645,0.66001,20.339
07/02/2013 10:00,0.195290619,2.285731674,0.58939,21.964
07/02/2013 11:00,0.115039639,1.517754442,0.55749,23.19
07/02/2013 12:00,0.103632867,1.695312749,0.50623,24.132
07/02/2013 13:00,0.115639905,1.471587775,0.50665,24.69
07/02/2013 14:00,0.173276688,1.857597205,0.44565,26.129
07/02/2013 15:00,0.87722225,0.52581772,0.48941,24.69
07/02/2013 16:00,0.870317903,0.378735239,0.66128,22.444
07/02/2013 17:00,0.877922704,0.31784675,0.70834,22.132
07/02/2013 18:00,0.907141201,0,0.78171,21.749
07/02/2013 19:00,0.9459658,0,0.78792,21.294
07/02/2013 20:00,0.9969981,0,0.86742,18.006
07/02/2013 21:00,1,0.001869688,0.92927,16.317
07/02/2013 22:00,1,0,0.95896,15.079
07/02/2013 23:00,0.999899937,0.412976683,0.97685,14.458
07/03/2013 0:00,0.999899937,0,0.94966,13.406
07/03/2013 1:00,1,0.179499738,0.96226,13.022
07/03/2013 2:00,1,0.034475334,0.959,12.373
07/03/2013 3:00,1,0,0.9614,11.649
07/03/2013 4:00,0.998899303,0.001869688,0.95832,10.972
07/03/2013 5:00,0.961375552,0,0.9836,10.802
07/03/2013 6:00,0.773156454,0,0.93576,13.334
07/03/2013 7:00,0.602548441,0.145835625,0.84514,17.245
07/03/2013 8:00,0.452853671,0.73960499,0.71232,20.029
07/03/2013 9:00,0.580934744,0.714230466,0.67998,20.864
07/03/2013 10:00,0.401421125,1.385901288,0.6187,22.492
07/03/2013 11:00,0.270738442,2.59877758,0.5376,24.398
07/03/2013 12:00,0.35178972,1.82389525,0.52361,24.787
07/03/2013 13:00,0.111437185,2.335244997,0.51281,26.203
07/03/2013 14:00,0.197992331,1.919845106,0.49265,25.958
07/03/2013 15:00,0.300857424,1.893805306,0.43915,26.154
07/03/2013 16:00,0.448951169,2.200462361,0.3696,26.522
07/03/2013 17:00,0.763350192,1.742614862,0.40952,25.738
