DateTime,BC_Inflow_cms,BC_Temp_C
07/01/2013 0:00,1.943,10.944
07/01/2013 1:00,1.939,10.748
07/01/2013 2:00,1.935,10.553
07/01/2013 3:00,1.932,10.357
07/01/2013 4:00,1.928,10.161
07/01/2013 5:00,1.924,9.965
07/01/2013 6:00,1.920,9.866
07/01/2013 7:00,1.916,9.965
07/01/2013 8:00,1.912,10.259
07/01/2013 9:00,1.908,10.748
07/01/2013 10:00,1.904,11.139
07/01/2013 11:00,1.900,11.625
07/01/2013 12:00,1.896,12.013
07/01/2013 13:00,1.896,12.594
07/01/2013 14:00,1.892,13.076
07/01/2013 15:00,1.892,13.461
07/01/2013 16:00,1.892,13.461
07/01/2013 17:00,1.889,13.558
07/01/2013 18:00,1.889,13.75
07/01/2013 19:00,1.885,13.558
07/01/2013 20:00,1.885,13.269
07/01/2013 21:00,1.885,12.787
07/01/2013 22:00,1.881,12.401
07/01/2013 23:00,1.881,12.013
07/02/2013 0:00,1.881,11.819
07/02/2013 1:00,1.877,11.528
07/02/2013 2:00,1.877,11.334
07/02/2013 3:00,1.873,11.139
07/02/2013 4:00,1.873,10.944
07/02/2013 5:00,1.873,10.846
07/02/2013 6:00,1.869,10.748
07/02/2013 7:00,1.869,10.748
07/02/2013 8:00,1.869,11.041
07/02/2013 9:00,1.865,11.431
07/02/2013 10:00,1.865,12.11
07/02/2013 11:00,1.861,12.98
07/02/2013 12:00,1.861,13.654
07/02/2013 13:00,1.865,14.325
07/02/2013 14:00,1.869,14.613
07/02/2013 15:00,1.873,14.517
07/02/2013 16:00,1.881,14.038
07/02/2013 17:00,1.885,13.846
07/02/2013 18:00,1.889,12.594
07/02/2013 19:00,1.892,12.594
07/02/2013 20:00,1.896,12.401
07/02/2013 21:00,1.900,12.304
07/02/2013 22:00,1.904,12.207
07/02/2013 23:00,1.908,12.013
07/03/2013 0:00,1.916,11.819
07/03/2013 1:00,1.920,11.625
07/03/2013 2:00,1.924,11.528
07/03/2013 3:00,1.928,11.334
07/03/2013 4:00,1.932,11.139
07/03/2013 5:00,1.935,11.041
07/03/2013 6:00,1.939,11.041
07/03/2013 7:00,1.943,11.041
07/03/2013 8:00,1.951,11.334
07/03/2013 9:00,1.955,11.625
07/03/2013 10:00,1.959,12.207
07/03/2013 11:00,1.963,12.883
07/03/2013 12:00,1.967,13.654
07/03/2013 13:00,1.959,14.23
07/03/2013 14:00,1.955,14.9
07/03/2013 15:00,1.947,15.187
07/03/2013 16:00,1.939,15.473
07/03/2013 17:00,1.932,15.378
07/03/2013 18:00,1.928,15.282
07/03/2013 19:00,1.920,14.9
07/03/2013 20:00,1.912,14.517
07/03/2013 21:00,1.908,13.942
07/03/2013 22:00,1.900,13.558
07/03/2013 23:00,1.892,13.269
07/04/2013 0:00,1.885,12.98
07/04/2013 1:00,1.881,12.69
07/04/2013 2:00,1.873,12.497
07/04/2013 3:00,1.865,12.207
07/04/2013 4:00,1.861,12.11
07/04/2013 5:00,1.853,12.013
07/04/2013 6:00,1.846,12.013
07/04/2013 7:00,1.842,12.013
07/04/2013 8:00,1.834,12.207
07/04/2013 9:00,1.826,12.594
07/04/2013 10:00,1.818,13.173
07/04/2013 11:00,1.814,13.942
07/04/2013 12:00,1.806,14.517
07/04/2013 13:00,1.803,14.996
07/04/2013 14:00,1.803,15.569
07/04/2013 15:00,1.799,15.282
07/04/2013 16:00,1.799,15.091
07/04/2013 17:00,1.795,14.709
07/04/2013 18:00,1.795,14.421
07/04/2013 19:00,1.791,14.23
07/04/2013 20:00,1.791,13.846
07/04/2013 21:00,1.787,13.558
07/04/2013 22:00,1.787,13.173
07/04/2013 23:00,1.783,12.883
07/05/2013 0:00,1.779,12.594
07/05/2013 1:00,1.779,12.401
07/05/2013 2:00,1.775,12.207
07/05/2013 3:00,1.775,12.013
07/05/2013 4:00,1.771,11.916
07/05/2013 5:00,1.771,11.819
07/05/2013 6:00,1.767,11.819
07/05/2013 7:00,1.767,11.916
07/05/2013 8:00,1.763,12.013
07/05/2013 9:00,1.763,12.497
07/05/2013 10:00,1.760,13.173
07/05/2013 11:00,1.760,14.038
07/05/2013 12:00,1.756,14.709
07/05/2013 13:00,1.752,14.804
