Stream_KM,Elevation,Gradient,BottomWidth,ChannelAngleZ,Mannings_n,SedThermalConductivity,SedThermalDiffusivity,SedHyporheicThickness,%HyporheicExchange,Porosity
96,530,0.01,5,0.325,0.04,2,0.0064,0.1,0.01,0.4
95.5,524,0.01,5,0.15,0.04,2,0.0064,0.1,0.01,0.4
95,518,0.01,5,0.325,0.04,2,0.0064,0.1,0.01,0.4
94.5,511,0.01,8,0.325,0.04,2,0.0064,0.1,0.01,0.3
94,504,0.01,8,0.325,0.04,2,0.0064,0.1,0.01,0.3
93.5,514,0.001,6,0.325,0.04,2,0.0064,0.1,0.01,0.3
93,492,0.04,5,1.15,0.04,2,0.0064,0.1,0.01,0.2
92.5,485,0.01,11,0.15,0.04,2,0.0064,0.1,0.01,0.3
92,479,0.01,11,0.15,0.04,2,0.0064,0.1,0.01,0.3
91.5,473,0.01,11,0.15,0.04,2,0.0064,0.1,0.01,0.3
91,467,0.01,11,0.15,0.04,2,0.0064,0.1,0.01,0.3
90.5,462,0.01,11,0.15,0.04,2,0.0064,0.1,0.01,0.3
90,458,0.01,11,0.15,0.04,2,0.0064,0.1,0.01,0.3
89.5,454,0.01,11,0.15,0.04,2,0.0064,0.1,0.01,0.3
89,450,0.01,11,0.15,0.04,2,0.0064,0.1,0.01,0.3
88.5,445,0.01,11,0.15,0.04,2,0.0064,0.1,0.01,0.3
88,441,0.01,11,0.15,0.04,2,0.0064,0.1,0.01,0.3
87.5,437,0.01,8,1,0.04,2,0.0064,0.1,0.01,0.3
87,432,0.01,8,1,0.04,2,0.0064,0.1,0.01,0.3
86.5,429,0.01,8,1,0.04,2,0.0064,0.1,0.01,0.3
86,425,0.01,8,0.5,0.06,2,0.0064,0.1,0.01,0.3
85.5,421,0.01,8,0.5,0.06,2,0.0064,0.1,0.01,0.3
85,418,0.01,8,0.5,0.06,2,0.0064,0.1,0.01,0.3
84.5,415,0.01,8,0.5,0.06,2,0.0064,0.1,0.01,0.3
84,412,0.01,8,0.5,0.06,2,0.0064,0.1,0.01,0.3
83.5,406,0.01,8,0.5,0.06,2,0.0064,0.1,0.01,0.3
83,403,0.01,9,0.15,0.1,2,0.0064,0.1,0.01,0.2
82.5,401,0.001,9,0.15,0.1,2,0.0064,0.1,0.01,0.2
82,397,0.01,9,0.15,0.1,2,0.0064,0.1,0.01,0.2
81.5,394,0.01,9,0.15,0.1,2,0.0064,0.1,0.01,0.2
81,393,0.001,8,1.575,0.05,2,0.0064,0.1,0.01,0.35
80.5,391,0.001,8,1.575,0.05,2,0.0064,0.1,0.01,0.35
80,389,0.001,7,2.075,0.05,2,0.0064,0.1,0.01,0.2
79.5,387,0.001,7,2.075,0.05,2,0.0064,0.1,0.01,0.2
79,386,0.001,7,2.075,0.05,2,0.0064,0.1,0.01,0.2
78.5,384,0.001,7,2.075,0.05,2,0.0064,0.1,0.01,0.2
