Stream_KM,Longitude,Latitude,TopoWest,TopoSouth,TopoEast,VEG0_RT,VEG1_RT,VEG2_RT,VEG3_RT,VEG4_RT,VEG5_RT,VEG6_RT,VEG7_RT,VEG8_RT,VEG9_RT,VEG0_LT,VEG1_LT,VEG2_LT,VEG3_LT,VEG4_LT,VEG5_LT,VEG6_LT,VEG7_LT,VEG8_LT,VEG9_LT,ELEV_V0_RT,ELEV_V1_RT,ELEV_V2_RT,ELEV_V3_RT,ELEV_V4_RT,ELEV_V5_RT,ELEV_V6_RT,ELEV_V7_RT,ELEV_V8_RT,ELEV_V9_RT,ELEV_V0_LT,ELEV_V1_LT,ELEV_V2_LT,ELEV_V3_LT,ELEV_V4_LT,ELEV_V5_LT,ELEV_V6_LT,ELEV_V7_LT,ELEV_V8_LT,ELEV_V9_LT,LAT_V0_RT,LAT_V1_RT,LAT_V2_RT,LAT_V3_RT,LAT_V4_RT,LAT_V5_RT,LAT_V6_RT,LAT_V7_RT,LAT_V8_RT,LAT_V9_RT,LAT_V0_LT,LAT_V1_LT,LAT_V2_LT,LAT_V3_LT,LAT_V4_LT,LAT_V5_LT,LAT_V6_LT,LAT_V7_LT,LAT_V8_LT,LAT_V9_LT,LON_V0_RT,LON_V1_RT,LON_V2_RT,LON_V3_RT,LON_V4_RT,LON_V5_RT,LON_V6_RT,LON_V7_RT,LON_V8_RT,LON_V9_RT,LON_V0_LT,LON_V1_LT,LON_V2_LT,LON_V3_LT,LON_V4_LT,LON_V5_LT,LON_V6_LT,LON_V7_LT,LON_V8_LT,LON_V9_LT
96,15.9153227933,47.438743845,25.5885131413,26.6501860023,19.6538240581,0.00,246.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,0.00,246.00,246.00,134.00,101.00,101.00,187.00,187.00,187.00,101.00,0.00,532.00,534.00,534.00,534.00,535.00,535.00,535.00,535.00,535.00,0.00,532.00,536.00,537.00,537.00,537.00,537.00,537.00,536.00,536.00,0.00,47.44,47.44,47.44,47.44,47.44,47.44,47.44,47.44,47.44,0.00,47.44,47.44,47.44,47.44,47.44,47.44,47.44,47.44,47.44,0.00,15.92,15.92,15.92,15.92,15.92,15.92,15.92,15.92,15.92,0.00,15.92,15.92,15.92,15.92,15.92,15.92,15.92,15.92,15.92
95.5,15.9207533151,47.4366994692,16.8374726257,23.4548024649,5.1329593685,0.00,247.00,247.00,247.00,187.00,101.00,101.00,101.00,101.00,101.00,0.00,247.00,247.00,101.00,101.00,187.00,152.00,152.00,152.00,152.00,0.00,524.00,526.00,527.00,529.00,529.00,529.00,529.00,529.00,529.00,0.00,526.00,527.00,529.00,529.00,530.00,529.00,532.00,536.00,537.00,0.00,47.44,47.44,47.44,47.44,47.44,47.44,47.44,47.44,47.44,0.00,47.44,47.44,47.44,47.44,47.44,47.44,47.44,47.44,47.44,0.00,15.92,15.92,15.92,15.92,15.92,15.92,15.92,15.92,15.92,0.00,15.92,15.92,15.92,15.92,15.92,15.92,15.92,15.92,15.92
95,15.9269828771,47.4352967913,12.300538879,33.4398692058,6.1449353192,0.00,246.00,168.00,168.00,168.00,168.00,168.00,168.00,168.00,168.00,0.00,246.00,246.00,246.00,246.00,246.00,246.00,246.00,187.00,187.00,0.00,518.00,519.00,522.00,525.00,528.00,529.00,530.00,533.00,537.00,0.00,521.00,522.00,521.00,521.00,521.00,521.00,521.00,522.00,521.00,0.00,47.44,47.44,47.44,47.44,47.44,47.44,47.44,47.43,47.43,0.00,47.44,47.44,47.44,47.44,47.44,47.44,47.44,47.44,47.44,0.00,15.93,15.93,15.93,15.93,15.93,15.93,15.93,15.93,15.93,0.00,15.93,15.93,15.93,15.93,15.93,15.93,15.93,15.93,15.93
94.5,15.9331693628,47.4340052392,18.5792703804,25.3879062911,11.9532530286,0.00,0.00,246.00,168.00,168.00,168.00,168.00,168.00,168.00,168.00,0.00,0.00,246.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,0.00,0.00,512.00,513.00,517.00,520.00,525.00,529.00,533.00,537.00,0.00,0.00,514.00,514.00,514.00,514.00,514.00,514.00,514.00,514.00,0.00,0.00,47.43,47.43,47.43,47.43,47.43,47.43,47.43,47.43,0.00,0.00,47.43,47.43,47.43,47.43,47.43,47.43,47.43,47.43,0.00,0.00,15.93,15.93,15.93,15.93,15.93,15.93,15.93,15.93,0.00,0.00,15.93,15.93,15.93,15.93,15.93,15.93,15.93,15.93
94,15.9372222321,47.4305517222,22.5963445144,20.5370731079,15.3295149619,0.00,0.00,246.00,246.00,168.00,175.00,175.00,175.00,168.00,168.00,0.00,0.00,246.00,101.00,101.00,101.00,101.00,101.00,262.00,262.00,0.00,0.00,506.00,506.00,507.00,507.00,506.00,506.00,506.00,507.00,0.00,0.00,506.00,507.00,507.00,507.00,507.00,507.00,507.00,507.00,0.00,0.00,47.43,47.43,47.43,47.43,47.43,47.43,47.43,47.43,0.00,0.00,47.43,47.43,47.43,47.43,47.43,47.43,47.43,47.43,0.00,0.00,15.94,15.94,15.94,15.94,15.94,15.94,15.94,15.94,0.00,0.00,15.94,15.94,15.94,15.94,15.94,15.94,15.94,15.94
93.5,15.9418121759,47.4275827711,26.5650511771,19.8997975591,11.1853766278,0.00,133.00,101.00,101.00,176.00,176.00,176.00,176.00,176.00,176.00,0.00,133.00,101.00,187.00,101.00,101.00,101.00,101.00,101.00,101.00,0.00,507.00,508.00,510.00,513.00,515.00,518.00,521.00,523.00,525.00,0.00,505.00,504.00,503.00,504.00,503.00,503.00,503.00,503.00,502.00,0.00,47.43,47.43,47.43,47.43,47.43,47.43,47.43,47.43,47.43,0.00,47.43,47.43,47.43,47.43,47.43,47.43,47.43,47.43,47.43,0.00,15.94,15.94,15.94,15.94,15.94,15.94,15.94,15.94,15.94,0.00,15.94,15.94,15.94,15.94,15.94,15.94,15.94,15.94,15.94
93,15.946831399,47.4249273503,26.7915155294,13.9377972083,14.0362434679,0.00,247.00,175.00,175.00,175.00,175.00,143.00,143.00,143.00,143.00,0.00,247.00,247.00,247.00,101.00,101.00,101.00,101.00,101.00,101.00,0.00,493.00,494.00,497.00,502.00,505.00,510.00,514.00,518.00,522.00,0.00,493.00,494.00,494.00,494.00,494.00,494.00,495.00,495.00,495.00,0.00,47.43,47.43,47.43,47.43,47.43,47.43,47.42,47.42,47.42,0.00,47.43,47.43,47.43,47.43,47.43,47.43,47.43,47.43,47.43,0.00,15.95,15.95,15.95,15.95,15.95,15.95,15.95,15.95,15.95,0.00,15.95,15.95,15.95,15.95,15.95,15.95,15.95,15.95,15.95
92.5,15.9508217888,47.4220563325,17.1027289691,19.2900462192,9.462322208,0.00,247.00,247.00,101.00,175.00,175.00,175.00,101.00,101.00,101.00,0.00,247.00,247.00,247.00,247.00,247.00,101.00,101.00,101.00,101.00,0.00,487.00,488.00,487.00,487.00,487.00,486.00,486.00,488.00,488.00,0.00,486.00,488.00,488.00,487.00,488.00,488.00,488.00,488.00,487.00,0.00,47.42,47.42,47.42,47.42,47.42,47.42,47.42,47.42,47.42,0.00,47.42,47.42,47.42,47.42,47.42,47.42,47.42,47.42,47.42,0.00,15.95,15.95,15.95,15.95,15.95,15.95,15.95,15.95,15.95,0.00,15.95,15.95,15.95,15.95,15.95,15.95,15.95,15.95,15.95
92,15.9547776325,47.4186294126,10.7995158697,11.9221525871,21.6504328147,0.00,0.00,247.00,247.00,175.00,175.00,175.00,175.00,175.00,175.00,0.00,0.00,247.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,0.00,0.00,481.00,482.00,482.00,482.00,482.00,482.00,482.00,482.00,0.00,0.00,481.00,481.00,481.00,482.00,482.00,482.00,482.00,482.00,0.00,0.00,47.42,47.42,47.42,47.42,47.42,47.42,47.42,47.42,0.00,0.00,47.42,47.42,47.42,47.42,47.42,47.42,47.42,47.42,0.00,0.00,15.95,15.95,15.95,15.95,15.95,15.95,15.95,15.95,0.00,0.00,15.95,15.95,15.95,15.95,15.95,15.95,15.95,15.95
91.5,15.9587299598,47.4152087552,14.4897625939,16.4052852579,15.130200777,0.00,0.00,246.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,0.00,0.00,246.00,246.00,224.00,136.00,136.00,187.00,101.00,101.00,0.00,0.00,475.00,475.00,475.00,476.00,476.00,476.00,476.00,475.00,0.00,0.00,475.00,476.00,477.00,477.00,477.00,477.00,477.00,477.00,0.00,0.00,47.42,47.42,47.42,47.42,47.42,47.42,47.42,47.42,0.00,0.00,47.42,47.42,47.42,47.42,47.42,47.42,47.42,47.42,0.00,0.00,15.96,15.96,15.96,15.96,15.96,15.96,15.96,15.96,0.00,0.00,15.96,15.96,15.96,15.96,15.96,15.96,15.96,15.96
