Stream_KM,Elevation,Gradient,BottomWidth,ChannelAngleZ,Mannings_n,SedThermalConductivity,SedThermalDiffusivity,SedHyporheicThickness,%HyporheicExchange,Porosity
96,530.00,0.01,5,0.325,0.04,2,0.0064,0.1,0.01,0.4
95.5,524.00,0.01,5,0.15,0.04,2,0.0064,0.1,0.01,0.4
95,518.00,0.01,5,0.325,0.04,2,0.0064,0.1,0.01,0.4
94.5,511.00,0.01,8,0.325,0.04,2,0.0064,0.1,0.01,0.3
94,504.00,0.01,8,0.325,0.04,2,0.0064,0.1,0.01,0.3
93.5,514.00,0.001,6,0.325,0.04,2,0.0064,0.1,0.01,0.3
93,492.00,0.04,5,1.15,0.04,2,0.0064,0.1,0.01,0.2
92.5,485.00,0.01,11,0.15,0.04,2,0.0064,0.1,0.01,0.3
92,479.00,0.01,11,0.15,0.04,2,0.0064,0.1,0.01,0.3
91.5,473.00,0.01,11,0.15,0.04,2,0.0064,0.1,0.01,0.3
91,467.00,0.01,11,0.15,0.04,2,0.0064,0.1,0.01,0.3
90.5,462.00,0.01,11,0.15,0.04,2,0.0064,0.1,0.01,0.3
90,458.00,0.01,11,0.15,0.04,2,0.0064,0.1,0.01,0.3
89.5,454.00,0.01,11,0.15,0.04,2,0.0064,0.1,0.01,0.3
89,450.00,0.01,11,0.15,0.04,2,0.0064,0.1,0.01,0.3
88.5,445.00,0.01,11,0.15,0.04,2,0.0064,0.1,0.01,0.3
88,441.00,0.01,11,0.15,0.04,2,0.0064,0.1,0.01,0.3
87.5,437.00,0.01,8,1,0.04,2,0.0064,0.1,0.01,0.3
87,432.00,0.01,8,1,0.04,2,0.0064,0.1,0.01,0.3
86.5,429.00,0.01,8,1,0.04,2,0.0064,0.1,0.01,0.3
86,425.00,0.01,8,0.5,1,2,0.0064,0.1,0.01,0.3
85.5,421.00,0.01,8,0.5,1,2,0.0064,0.1,0.01,0.3
85,418.00,0.01,8,0.5,1,2,0.0064,0.1,0.01,0.3
84.5,415.00,0.01,8,0.5,1,2,0.0064,0.1,0.01,0.3
84,412.00,0.01,8,0.5,1,2,0.0064,0.1,0.01,0.3
83.5,406.00,0.01,8,0.5,1,2,0.0064,0.1,0.01,0.3
83,403.00,0.01,9,0.15,0.1,2,0.0064,0.1,0.01,0.2
82.5,401.00,0.001,9,0.15,0.1,2,0.0064,0.1,0.01,0.2
82,397.00,0.01,9,0.15,0.1,2,0.0064,0.1,0.01,0.2
