Stream_KM,Elevation,Gradient,BottomWidth,ChannelAngleZ ,Mannings_n,SedThermalConductivity,SedThermalDiffusivity,SedHyporheicThickness,%HyporheicExchange,Porosity
93,705,0.036,1.5,0.5,0.04,2,0.0064,0.1,0.01,0.3
92.5,690,0.03,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
92,669,0.042,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
91.5,652,0.034,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
91,637,0.03,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
90.5,618,0.038,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
90,602,0.032,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
89.5,578,0.048,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
89,560,0.036,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
88.5,546,0.028,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
88,534,0.024,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
87.5,521,0.026,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
87,509,0.024,6,0.15,0.015,2,0.0064,0.1,0.01,0.35
86.5,497,0.024,8,0.15,0.035,2,0.0064,0.1,0.01,0.3
86,490,0.014,8,0.15,0.035,2,0.0064,0.1,0.01,0.3
85.5,479,0.022,8,0.15,0.035,2,0.0064,0.1,0.01,0.3
85,471,0.016,8,0.15,0.035,2,0.0064,0.1,0.01,0.3
84.5,464,0.014,8,0.15,0.035,2,0.0064,0.1,0.01,0.3
84,457,0.014,8,0.15,0.035,2,0.0064,0.1,0.01,0.3
83.5,452,0.01,5,0.15,0.04,2,0.0064,0.1,0.01,0.1
83,446,0.012,5,0.15,0.04,2,0.0064,0.1,0.01,0.1
82.5,440,0.012,5,0.15,0.04,2,0.0064,0.1,0.01,0.1
82,435,0.01,5,0.15,0.04,2,0.0064,0.1,0.01,0.1
81.5,430,0.01,10,0.15,1,2,0.0064,0.1,0.01,0.2
81,425,0.01,10,0.15,1,2,0.0064,0.1,0.01,0.2
80.5,419,0.012,10,0.15,1,2,0.0064,0.1,0.01,0.2
80,415,0.008,10,0.15,1,2,0.0064,0.1,0.01,0.2
79.5,410,0.01,10,0.15,1,2,0.0064,0.1,0.01,0.2
79,406,0.008,10,0.15,1,2,0.0064,0.1,0.01,0.2
78.5,403,0.006,10,0.15,1,2,0.0064,0.1,0.01,0.2
78,400,0.006,10,0.15,1,2,0.0064,0.1,0.01,0.2
77.5,392,0.016,10,0.15,1,2,0.0064,0.1,0.01,0.2
77,388,0.008,10,0.15,1,2,0.0064,0.1,0.01,0.2
76.5,386,0.004,10,0.15,1,2,0.0064,0.1,0.01,0.2
76,383,0.006,6,0.5,0.03,2,0.0064,0.1,0.01,0.2
75.5,381,0.004,6,0.5,0.03,2,0.0064,0.1,0.01,0.2
75,377,0.008,6,0.5,0.03,2,0.0064,0.1,0.01,0.2
74.5,374,0.006,6,0.15,0.02,2,0.0064,0.1,0.01,0.4
74,370,0.008,6,0.15,0.02,2,0.0064,0.1,0.01,0.4
