Stream_KM,Elevation,Gradient,BottomWidth,ChannelAngleZ ,Mannings_n,SedThermalConductivity,SedThermalDiffusivity,SedHyporheicThickness,%HyporheicExchange,Porosity
93,703,0.036,1.5,0.5,0.04,2,0.0064,0.1,0.01,0.3
92.5,688,0.03,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
92,667,0.042,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
91.5,650,0.034,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
91,635,0.03,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
90.5,616,0.038,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
90,600,0.032,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
89.5,576,0.048,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
89,558,0.036,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
88.5,544,0.028,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
88,532,0.024,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
87.5,519,0.026,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
87,507,0.024,6,0.15,0.015,2,0.0064,0.1,0.01,0.35
86.5,495,0.024,8,0.15,0.035,2,0.0064,0.1,0.01,0.3
86,488,0.014,8,0.15,0.035,2,0.0064,0.1,0.01,0.3
85.5,477,0.022,8,0.15,0.035,2,0.0064,0.1,0.01,0.3
85,469,0.016,8,0.15,0.035,2,0.0064,0.1,0.01,0.3
84.5,462,0.014,8,0.15,0.035,2,0.0064,0.1,0.01,0.3
84,455,0.014,8,0.15,0.035,2,0.0064,0.1,0.01,0.3
83.5,450,0.01,5,0.15,0.04,2,0.0064,0.1,0.01,0.1
83,444,0.012,5,0.15,0.04,2,0.0064,0.1,0.01,0.1
82.5,438,0.012,5,0.15,0.04,2,0.0064,0.1,0.01,0.1
82,433,0.01,5,0.15,0.04,2,0.0064,0.1,0.01,0.1
81.5,428,0.01,10,0.15,1,2,0.0064,0.1,0.01,0.2
81,423,0.01,10,0.15,1,2,0.0064,0.1,0.01,0.2
80.5,417,0.012,10,0.15,1,2,0.0064,0.1,0.01,0.2
80,413,0.008,10,0.15,1,2,0.0064,0.1,0.01,0.2
79.5,408,0.01,10,0.15,1,2,0.0064,0.1,0.01,0.2
79,404,0.008,10,0.15,1,2,0.0064,0.1,0.01,0.2
78.5,401,0.006,10,0.15,1,2,0.0064,0.1,0.01,0.2
78,398,0.006,10,0.15,1,2,0.0064,0.1,0.01,0.2
77.5,390,0.016,10,0.15,1,2,0.0064,0.1,0.01,0.2
77,386,0.008,10,0.15,1,2,0.0064,0.1,0.01,0.2
76.5,384,0.004,10,0.15,1,2,0.0064,0.1,0.01,0.2
76,381,0.006,6,0.5,0.03,2,0.0064,0.1,0.01,0.2
75.5,379,0.004,6,0.5,0.03,2,0.0064,0.1,0.01,0.2
75,375,0.008,6,0.5,0.03,2,0.0064,0.1,0.01,0.2
74.5,372,0.006,6,0.15,0.02,2,0.0064,0.1,0.01,0.4
74,368,0.008,6,0.15,0.02,2,0.0064,0.1,0.01,0.4
73.5,365,0.006,6,0.15,0.02,2,0.0064,0.1,0.01,0.4
73,361,0.008,6,0.15,0.02,2,0.0064,0.1,0.01,0.4
72.5,357,0.008,6,0.15,0.02,2,0.0064,0.1,0.01,0.4
72,355,0.004,6,0.15,0.02,2,0.0064,0.1,0.01,0.4
71.5,353,0.004,4,0.15,0.035,2,0.0064,0.1,0.01,0.35
71,350,0.006,4,0.15,0.035,2,0.0064,0.1,0.01,0.35
70.5,348,0.004,4,0.15,0.035,2,0.0064,0.1,0.01,0.35
70,345,0.006,4,0.15,0.05,2,0.0064,0.1,0.01,0.35
