DateTime,#1     Inflow Rate (cms),#1     Inflow Temp (*C),#2     Inflow Rate (cms),#2     Inflow Temp (*C),#3     Inflow Rate (cms),#3     Inflow Temp (*C),#4     Inflow Rate (cms),#4     Inflow Temp (*C),#5     Inflow Rate (cms),#5     Inflow Temp (*C),#6     Inflow Rate (cms),#6     Inflow Temp (*C),#7     Inflow Rate (cms),#7     Inflow Temp (*C),#8     Inflow Rate (cms),#8     Inflow Temp (*C),#9     Inflow Rate (cms),#9     Inflow Temp (*C),#10     Inflow Rate (cms),#10     Inflow Temp (*C),#11     Inflow Rate (cms),#11     Inflow Temp (*C),#12     Inflow Rate (cms),#12     Inflow Temp (*C),#13    Inflow Rate (cms),#13    Inflow Temp (*C)
07/01/2013 0:00,0.1875333333,13.863,0.1875333333,13.363,0.1077777778,12.863,0.1034666667,13.063,0.1077777778,13.263,0.097,13.463,0.0431111111,13.663,0.194,13.863,0.097,14.063,0.0215555556,14.263,0.1077777778,14.463,0.5388888889,14.663,0.0862222222,15.863
07/01/2013 1:00,0.1875333333,13.863,0.1875333333,13.363,0.1077777778,12.863,0.1034666667,13.063,0.1077777778,13.263,0.097,13.463,0.0431111111,13.663,0.194,13.863,0.097,14.063,0.0215555556,14.263,0.1077777778,14.463,0.5388888889,14.663,0.0862222222,15.863
07/01/2013 2:00,0.1875333333,13.666,0.1875333333,13.166,0.1077777778,12.666,0.1034666667,12.866,0.1077777778,13.066,0.097,13.266,0.0431111111,13.466,0.194,13.666,0.097,13.866,0.0215555556,14.066,0.1077777778,14.266,0.5388888889,14.466,0.0862222222,15.666
07/01/2013 3:00,0.1856,13.469,0.1856,12.969,0.1066666667,12.469,0.1024,12.669,0.1066666667,12.869,0.096,13.069,0.0426666667,13.269,0.192,13.469,0.096,13.669,0.0213333333,13.869,0.1066666667,14.069,0.5333333333,14.269,0.0853333333,15.469
07/01/2013 4:00,0.1856,13.272,0.1856,12.772,0.1066666667,12.272,0.1024,12.472,0.1066666667,12.672,0.096,12.872,0.0426666667,13.072,0.192,13.272,0.096,13.472,0.0213333333,13.672,0.1066666667,13.872,0.5333333333,14.072,0.0853333333,15.272
07/01/2013 5:00,0.1856,13.075,0.1856,12.575,0.1066666667,12.075,0.1024,12.275,0.1066666667,12.475,0.096,12.675,0.0426666667,12.875,0.192,13.075,0.096,13.275,0.0213333333,13.475,0.1066666667,13.675,0.5333333333,13.875,0.0853333333,15.075
07/01/2013 6:00,0.1856,12.976,0.1856,12.476,0.1066666667,11.976,0.1024,12.176,0.1066666667,12.376,0.096,12.576,0.0426666667,12.776,0.192,12.976,0.096,13.176,0.0213333333,13.376,0.1066666667,13.576,0.5333333333,13.776,0.0853333333,14.976
07/01/2013 7:00,0.1856,12.976,0.1856,12.476,0.1066666667,11.976,0.1024,12.176,0.1066666667,12.376,0.096,12.576,0.0426666667,12.776,0.192,12.976,0.096,13.176,0.0213333333,13.376,0.1066666667,13.576,0.5333333333,13.776,0.0853333333,14.976
07/01/2013 8:00,0.1856,13.075,0.1856,12.575,0.1066666667,12.075,0.1024,12.275,0.1066666667,12.475,0.096,12.675,0.0426666667,12.875,0.192,13.075,0.096,13.275,0.0213333333,13.475,0.1066666667,13.675,0.5333333333,13.875,0.0853333333,15.075
07/01/2013 9:00,0.1836666667,13.666,0.1836666667,13.166,0.1055555556,12.666,0.1013333333,12.866,0.1055555556,13.066,0.095,13.266,0.0422222222,13.466,0.19,13.666,0.095,13.866,0.0211111111,14.066,0.1055555556,14.266,0.5277777778,14.466,0.0844444444,15.666
07/01/2013 10:00,0.1836666667,13.568,0.1836666667,13.068,0.1055555556,12.568,0.1013333333,12.768,0.1055555556,12.968,0.095,13.168,0.0422222222,13.368,0.19,13.568,0.095,13.768,0.0211111111,13.968,0.1055555556,14.168,0.5277777778,14.368,0.0844444444,15.568
07/01/2013 11:00,0.1836666667,13.863,0.1836666667,13.363,0.1055555556,12.863,0.1013333333,13.063,0.1055555556,13.263,0.095,13.463,0.0422222222,13.663,0.19,13.863,0.095,14.063,0.0211111111,14.263,0.1055555556,14.463,0.5277777778,14.663,0.0844444444,15.863
07/01/2013 12:00,0.1836666667,14.059,0.1836666667,13.559,0.1055555556,13.059,0.1013333333,13.259,0.1055555556,13.459,0.095,13.659,0.0422222222,13.859,0.19,14.059,0.095,14.259,0.0211111111,14.459,0.1055555556,14.659,0.5277777778,14.859,0.0844444444,16.059
07/01/2013 13:00,0.1836666667,14.255,0.1836666667,13.755,0.1055555556,13.255,0.1013333333,13.455,0.1055555556,13.655,0.095,13.855,0.0422222222,14.055,0.19,14.255,0.095,14.455,0.0211111111,14.655,0.1055555556,14.855,0.5277777778,15.055,0.0844444444,16.255
07/01/2013 14:00,0.1836666667,14.548,0.1836666667,14.048,0.1055555556,13.548,0.1013333333,13.748,0.1055555556,13.948,0.095,14.148,0.0422222222,14.348,0.19,14.548,0.095,14.748,0.0211111111,14.948,0.1055555556,15.148,0.5277777778,15.348,0.0844444444,16.548
