Land Cover Name,Code,Height (m),Density (0-1),Overhang (m)
emergent,0,0,0,0
agriculture_h>2_d5_OH0,100,7.5,0.9,0
agriculture_h0-1_d5_OH0,101,5.5,0.9,0
agriculture_h0-5_d1_OH0,102,6,0.03,0
agriculture_h0-5_d2_OH0,103,9,0.2,0
agriculture_h0-5_d2_OH0-0.5,104,9,0.2,0.5
agriculture_h0-5_d3_OH0,105,9,0.5,0
agriculture_h0-5_d3_OH0-0.5,106,9,0.5,0.5
agriculture_h0-5_d4_OH0,107,9,0.7,0
agriculture_h0-5_d5_OH0,108,9,0.9,0
agriculture_h10-20_d1_OH0,109,20,0.03,0
agriculture_h10-20_d2_OH0,110,20,0.2,0
agriculture_h10-20_d2_OH0-0.5,111,20,0.2,0.5
agriculture_h10-20_d2_OH1-2.5,112,20,0.2,1.8
agriculture_h10-20_d3_OH0,113,20,0.5,0
agriculture_h10-20_d3_OH0-0.5,114,20,0.5,0.5
agriculture_h10-20_d3_OH1-2.5,115,20,0.5,1.8
agriculture_h10-20_d3_OH3-5,116,20,0.5,4
agriculture_h10-20_d3_OH6-8,117,20,0.5,7
agriculture_h10-20_d4_OH0,118,20,0.7,0
agriculture_h1-2_d5_OH0,119,6.5,0.9,0
agriculture_h20-30_d2_OH0,120,30,0.2,0
agriculture_h20-30_d3_OH0,121,30,0.5,0
agriculture_h30-40_d1_OH0,122,40,0.03,0
agriculture_h30-40_d2_OH0,123,40,0.2,0
agriculture_h5-10_d1_OH0,124,13,0.03,0
agriculture_h5-10_d2_OH0,125,13,0.2,0
agriculture_h5-10_d2_OH0-0.5,126,13,0.2,0.5
agriculture_h5-10_d3_OH0,127,13,0.5,0
agriculture_h5-10_d3_OH1-2.5,128,13,0.5,1.8
agriculture_h5-10_d3_OH3-5,129,13,0.5,4
agriculture_h5-10_d4_OH0,130,13,0.7,0
agriculture_h5-10_d4_OH0-0.5,131,13,0.7,0.5
agriculture_h5-10_d5_OH0,132,13,0.9,0
artificial cover_h1_d6_OH50,133,6,0.99,50
buildings_h0-5_d6_OH0,134,9,0.99,0
buildings_h10-20_d6_OH0,135,20,0.99,0
buildings_h5-10_d6_OH0,136,13,0.99,0
commercial forest_h0-5_d1_OH0,137,9,0.03,0
commercial forest_h0-5_d2_OH0,138,9,0.2,0
commercial forest_h0-5_d2_OH0-0.5,139,9,0.2,0.5
commercial forest_h0-5_d3_OH0,140,9,0.5,0
commercial forest_h0-5_d3_OH0-0.5,141,9,0.5,0.5
commercial forest_h0-5_d4_OH0,142,9,0.7,0
commercial forest_h0-5_d5_OH0,143,9,0.9,0
commercial forest_h0-5_d5_OH0-0.5,144,9,0.9,0.5
commercial forest_h10-20_d2_OH0,145,20,0.2,0
commercial forest_h10-20_d2_OH1-2.5,146,20,0.2,1.8
commercial forest_h10-20_d3_OH0,147,20,0.5,0
commercial forest_h10-20_d3_OH1-2.5,148,20,0.5,1.8
commercial forest_h10-20_d4_OH0,149,20,0.7,0
commercial forest_h10-20_d4_OH1-2.5,150,20,0.7,1.8
commercial forest_h10-20_d4_OH3-5,151,20,0.7,4
commercial forest_h10-20_d5_OH0,152,20,0.9,0
commercial forest_h10-20_d5_OH0-0.5,153,20,0.9,0.5
commercial forest_h10-20_d5_OH1-2.5,154,20,0.9,1.8
commercial forest_h10-20_d5_OH3-5,155,20,0.9,4
commercial forest_h20-30_d1_OH0,156,30,0.03,0
commercial forest_h20-30_d2_OH0-0.5,157,30,0.2,0.5
commercial forest_h20-30_d3_OH0,158,30,0.5,0
commercial forest_h20-30_d3_OH1-2.5,159,30,0.5,1.8
