Land Cover Name,Code,Height (m),Density (0-1),Overhang (m)
emergent,0,0,0,0
agriculture_h>2_d5_OH0,100,0,0.9,0
agriculture_h0-1_d5_OH0,101,0,0.9,0
agriculture_h0-5_d1_OH0,102,0,0.03,0
agriculture_h0-5_d2_OH0,103,0,0.2,0
agriculture_h0-5_d2_OH0-0.5,104,0,0.2,0.5
agriculture_h0-5_d3_OH0,105,0,0.5,0
agriculture_h0-5_d3_OH0-0.5,106,0,0.5,0.5
agriculture_h0-5_d4_OH0,107,0,0.7,0
agriculture_h0-5_d5_OH0,108,0,0.9,0
agriculture_h10-20_d1_OH0,109,10,0.03,0
agriculture_h10-20_d2_OH0,110,10,0.2,0
agriculture_h10-20_d2_OH0-0.5,111,10,0.2,0.5
agriculture_h10-20_d2_OH1-2.5,112,10,0.2,1.8
agriculture_h10-20_d3_OH0,113,10,0.5,0
agriculture_h10-20_d3_OH0-0.5,114,10,0.5,0.5
agriculture_h10-20_d3_OH1-2.5,115,10,0.5,1.8
agriculture_h10-20_d3_OH3-5,116,10,0.5,4
agriculture_h10-20_d3_OH6-8,117,10,0.5,7
agriculture_h10-20_d4_OH0,118,10,0.7,0
agriculture_h1-2_d5_OH0,119,0,0.9,0
agriculture_h20-30_d2_OH0,120,20,0.2,0
agriculture_h20-30_d3_OH0,121,20,0.5,0
agriculture_h30-40_d1_OH0,122,30,0.03,0
agriculture_h30-40_d2_OH0,123,30,0.2,0
agriculture_h5-10_d1_OH0,124,3,0.03,0
agriculture_h5-10_d2_OH0,125,3,0.2,0
agriculture_h5-10_d2_OH0-0.5,126,3,0.2,0.5
agriculture_h5-10_d3_OH0,127,3,0.5,0
agriculture_h5-10_d3_OH1-2.5,128,3,0.5,1.8
agriculture_h5-10_d3_OH3-5,129,3,0.5,4
agriculture_h5-10_d4_OH0,130,3,0.7,0
agriculture_h5-10_d4_OH0-0.5,131,3,0.7,0.5
agriculture_h5-10_d5_OH0,132,3,0.9,0
artificial cover_h1_d6_OH50,133,0,0.99,50
buildings_h0-5_d6_OH0,134,0,0.99,0
buildings_h10-20_d6_OH0,135,10,0.99,0
buildings_h5-10_d6_OH0,136,3,0.99,0
commercial forest_h0-5_d1_OH0,137,0,0.03,0
commercial forest_h0-5_d2_OH0,138,0,0.2,0
commercial forest_h0-5_d2_OH0-0.5,139,0,0.2,0.5
commercial forest_h0-5_d3_OH0,140,0,0.5,0
commercial forest_h0-5_d3_OH0-0.5,141,0,0.5,0.5
commercial forest_h0-5_d4_OH0,142,0,0.7,0
commercial forest_h0-5_d5_OH0,143,0,0.9,0
commercial forest_h0-5_d5_OH0-0.5,144,0,0.9,0.5
commercial forest_h10-20_d2_OH0,145,10,0.2,0
commercial forest_h10-20_d2_OH1-2.5,146,10,0.2,1.8
commercial forest_h10-20_d3_OH0,147,10,0.5,0
commercial forest_h10-20_d3_OH1-2.5,148,10,0.5,1.8
commercial forest_h10-20_d4_OH0,149,10,0.7,0
commercial forest_h10-20_d4_OH1-2.5,150,10,0.7,1.8
commercial forest_h10-20_d4_OH3-5,151,10,0.7,4
commercial forest_h10-20_d5_OH0,152,10,0.9,0
commercial forest_h10-20_d5_OH0-0.5,153,10,0.9,0.5
commercial forest_h10-20_d5_OH1-2.5,154,10,0.9,1.8
commercial forest_h10-20_d5_OH3-5,155,10,0.9,4
commercial forest_h20-30_d1_OH0,156,20,0.03,0
commercial forest_h20-30_d2_OH0-0.5,157,20,0.2,0.5
commercial forest_h20-30_d3_OH0,158,20,0.5,0
commercial forest_h20-30_d3_OH1-2.5,159,20,0.5,1.8
commercial forest_h20-30_d4_OH0,160,20,0.7,0
commercial forest_h20-30_d4_OH0-0.5,161,20,0.7,0.5
commercial forest_h20-30_d4_OH1-2.5,162,20,0.7,1.8
