DateTime,GloRad (W/m2),Wind Speed (m/s),Relative Humidity (0 - 1),Air Temp (*C)
07/01/2013 0:00,0,0.65999975,0.80423,11.013
07/01/2013 1:00,0.1100697015,0.61138775,0.76821,11.765
07/01/2013 2:00,0,0.92923475,0.79572,10.989
07/01/2013 3:00,0.1100697015,1.00402225,0.79498,10.648
07/01/2013 4:00,2.09132385,0.459943,0.88824,8.931
07/01/2013 5:00,50.081702231,0.8881015,0.87713,9.399
07/01/2013 6:00,271.87208169,1.217831378,0.75321,12.731
07/01/2013 7:00,453.15687142,0.339650804,0.61971,15.294
07/01/2013 8:00,635.54230641,0.438851091,0.58547,17.128
07/01/2013 9:00,835.53891234,1.04452803,0.57685,18.031
07/01/2013 10:00,345.50868396,0.803056418,0.58828,17.96
07/01/2013 11:00,419.69565594,0.91845823,0.54975,19.173
07/01/2013 12:00,500.2666526,0.751605073,0.51704,19.744
07/01/2013 13:00,846.10557724,0.82585608,0.50692,21.294
07/01/2013 14:00,694.64973259,0.699797851,0.53429,21.151
07/01/2013 15:00,622.9942917,0.567058013,0.4655,22.922
07/01/2013 16:00,364.88098152,0.34028325,0.52343,21.652
07/01/2013 17:00,419.91578497,0.7142205,0.50387,21.844
07/01/2013 18:00,275.39433471,0.871402881,0.49727,22.107
07/01/2013 19:00,119.20548024,0.734808658,0.55858,20.769
07/01/2013 20:00,3.9625082981,0.001869688,0.73761,18.245
07/01/2013 21:00,0,0,0.81451,16.938
07/01/2013 22:00,0,0,0.87755,14.171
07/01/2013 23:00,0.1100697015,0.3683285,0.91088,12.995
07/02/2013 0:00,0,0.38702525,0.92416,12.273
07/02/2013 1:00,0.1100697015,0,0.95068,11.013
07/02/2013 2:00,0,0,0.94793,10.745
07/02/2013 3:00,0.1100697015,0,0.96711,10.16
07/02/2013 4:00,1.9812536777,0,0.9718,9.67
07/02/2013 5:00,44.798360343,0,0.97952,9.841
07/02/2013 6:00,251.83939704,0.185099075,0.9277,12.441
07/02/2013 7:00,436.4262166,0.0467422,0.78318,16.104
07/02/2013 8:00,615.06926943,0.785647061,0.68418,18.721
07/02/2013 9:00,768.72659292,1.209086645,0.66001,20.769
07/02/2013 10:00,885.18031877,2.285731674,0.58939,22.394
07/02/2013 11:00,973.4563971,1.517754442,0.55749,23.62
07/02/2013 12:00,986.00384663,1.695312749,0.50623,24.562
07/02/2013 13:00,972.79610417,1.471587775,0.50665,25.12
07/02/2013 14:00,909.39564364,1.857597205,0.44565,26.559
07/02/2013 15:00,135.05552467,0.52581772,0.48941,25.12
07/02/2013 16:00,142.65030626,0.378735239,0.66128,22.874
07/02/2013 17:00,134.28502593,0.31784675,0.70834,22.562
07/02/2013 18:00,102.144678867,0,0.78171,22.179
07/02/2013 19:00,59.437619769,0,0.78792,21.724
07/02/2013 20:00,3.3020900913,0,0.86742,18.436
07/02/2013 21:00,0,0.001869688,0.92927,16.747
07/02/2013 22:00,0,0,0.95896,15.509
07/02/2013 23:00,0.1100697015,0.412976683,0.97685,14.888
07/03/2013 0:00,0.1100697015,0,0.94966,13.836
07/03/2013 1:00,0,0.179499738,0.96226,13.452
07/03/2013 2:00,0,0.034475334,0.959,12.803
07/03/2013 3:00,0,0,0.9614,12.079
07/03/2013 4:00,1.2107662413,0.001869688,0.95832,11.402
07/03/2013 5:00,42.486892382,0,0.9836,11.232
07/03/2013 6:00,249.52790082,0,0.93576,13.764
07/03/2013 7:00,437.19671534,0.145835625,0.84514,17.675
07/03/2013 8:00,601.86096179,0.73960499,0.71232,20.459
07/03/2013 9:00,460.97178204,0.714230466,0.67998,21.294
07/03/2013 10:00,658.43676272,1.385901288,0.6187,22.922
07/03/2013 11:00,802.18771424,2.59877758,0.5376,24.828
07/03/2013 12:00,713.03130811,1.82389525,0.52361,25.217
07/03/2013 13:00,977.41909661,2.335244997,0.51281,26.633
07/03/2013 14:00,882.20843546,1.919845106,0.49265,26.388
07/03/2013 15:00,769.0568336,1.893805306,0.43915,26.584
07/03/2013 16:00,606.15371355,2.200462361,0.3696,26.952
07/03/2013 17:00,260.31478902,1.742614862,0.40952,26.168
07/03/2013 18:00,109.849572074,0.417677417,0.48603,24.732
07/03/2013 19:00,54.704628737,0.35711025,0.62277,22.802
07/03/2013 20:00,2.8618112875,0.0467422,0.70714,20.197
07/03/2013 21:00,0,0,0.8311,17.556
07/03/2013 22:00,0,0,0.87604,15.89
07/03/2013 23:00,0.1100697015,0.185099075,0.89653,15.294
07/04/2013 0:00,0,0,0.90096,15.366
07/04/2013 1:00,0,0.59082125,0.88007,15.556
07/04/2013 2:00,0,0.58708175,0.88108,15.866
07/04/2013 3:00,0,0.001869688,0.86722,16.152
07/04/2013 4:00,1.5409758155,0,0.89927,15.652
07/04/2013 5:00,46.669541974,0,0.93338,15.27
07/04/2013 6:00,239.51160563,0.170141575,0.86329,17.603
07/04/2013 7:00,372.03550505,1.149299747,0.70889,21.127
07/04/2013 8:00,602.52134888,1.669735682,0.60391,23.235
07/04/2013 9:00,761.68208677,1.57160771,0.55772,24.199
07/04/2013 10:00,428.2810653,0.495308415,0.57693,23.524
07/04/2013 11:00,484.52671971,0.155858386,0.54217,25.387
07/04/2013 12:00,393.93933359,0.4874008,0.52536,25.338
07/04/2013 13:00,846.5458353,1.315304853,0.57855,26.241
07/04/2013 14:00,392.39833611,1.103274187,0.57779,25.533
07/04/2013 15:00,187.33857384,1.288517221,0.57026,25.29
07/04/2013 16:00,478.14260076,1.022575503,0.54272,25.996
07/04/2013 17:00,435.2154598,1.962535188,0.53452,25.777
07/04/2013 18:00,224.54217148,1.931578253,0.55962,25.071
07/04/2013 19:00,63.400130893,0.198583338,0.58486,24.054
07/04/2013 20:00,4.2927169307,1.06011275,0.6806,20.816
07/04/2013 21:00,0,0.108441875,0.77221,18.959
07/04/2013 22:00,0,0.27110475,0.82877,17.627
07/04/2013 23:00,0,0,0.84652,16.604
07/05/2013 0:00,0,0.005609063,0.87002,16.081
07/05/2013 1:00,0.1100697015,0.7273085,0.89355,15.055
