DateTime,GloRad (W/m2),Wind Speed (m/s),Relative Humidity (0 - 1),Air Temp (*C),LwRad (W/m2)
07/03/2013 0:00,0,0,0.999,11.95,384.5894454
07/03/2013 1:00,0,0.179499738,0.999,10.74,382.723294
07/03/2013 2:00,0,0.034475334,0.999,10.64,382.035632
07/03/2013 3:00,0,0,0.999,9.59,380.6172762
07/03/2013 4:00,1.30995,0.001869688,0.999,8.85,379.3442699
07/03/2013 5:00,71.95992,0,0.999,9.29,379.7649833
07/03/2013 6:00,244.17468,0,0.999,14.46,387.6692297
07/03/2013 7:00,481.88694,0.145835625,0.91,18.07,391.1656758
07/03/2013 8:00,552.10026,0.73960499,0.731,21.71,401.8610222
07/03/2013 9:00,537.9528,0.714230466,0.701,22.26,405.6210834
07/03/2013 10:00,679.4274,1.385901288,0.668,23.56,409.7786982
07/03/2013 11:00,680.3007,2.59877758,0.6034,25.18,415.5608
07/03/2013 12:00,1142.2764,1.82389525,0.5707,26.57,419.1225843
07/03/2013 13:00,1187.688,2.335244997,0.5221,27.29,420.2897572
07/03/2013 14:00,1020.0144,1.919845106,0.4981,27.81,422.3373476
07/03/2013 15:00,957.1368,1.893805306,0.4658,28.31,421.5883878
07/03/2013 16:00,738.8118,2.200462361,0.4478,27.97,419.3079195
07/03/2013 17:00,278.05872,1.742614862,0.4925,25.46,412.6481276
07/03/2013 18:00,146.80173,0.417677417,0.739,22.31,406.7969763
07/03/2013 19:00,66.80745,0.35711025,0.803,20.33,401.3842129
07/03/2013 20:00,2.27058,0.0467422,0.951,17.55,394.8974267
07/03/2013 21:00,0,0,0.999,15.92,389.9892095
07/03/2013 22:00,0,0,0.999,14.7,386.0413745
07/03/2013 23:00,0,0.185099075,0.999,13.97,387.0714641
07/04/2013 0:00,0,0,0.959,15.26,389.5240375
07/04/2013 1:00,0,0.59082125,0.951,14.76,388.2399258
07/04/2013 2:00,0,0.58708175,0.959,14.82,390.5217057
07/04/2013 3:00,0,0.001869688,0.927,15.24,391.1637821
07/04/2013 4:00,1.7466,0,0.905,15.86,390.7972612
07/04/2013 5:00,63.31425,0,0.999,13.98,384.4775624
07/04/2013 6:00,235.791,0.170141575,0.823,18.13,389.423885
07/04/2013 7:00,453.76668,1.149299747,0.747,20.88,398.1238083
07/04/2013 8:00,677.6808,1.669735682,0.6275,23.46,407.3266703
07/04/2013 9:00,893.3859,1.57160771,0.5366,24.69,412.8161619
07/04/2013 10:00,800.8161,0.495308415,0.555,24.44,414.7979196
07/04/2013 11:00,541.27134,0.155858386,0.5772,24.55,414.0260538
07/04/2013 12:00,213.25986,0.4874008,0.5617,25.73,417.9535023
07/04/2013 13:00,1181.5749,1.315304853,0.4911,27.71,425.2894024
07/04/2013 14:00,1150.1361,1.103274187,0.558,26.48,422.5591955
07/04/2013 15:00,256.13889,1.288517221,0.5609,25.49,419.6145423
07/04/2013 16:00,150.55692,1.022575503,0.5707,25.43,419.4408711
07/04/2013 17:00,134.40087,1.962535188,0.6249,23.78,409.9099695
07/04/2013 18:00,350.45529,1.931578253,0.6045,25.49,410.6139926
07/04/2013 19:00,46.80888,0.198583338,0.6037,22.7,402.3708218
07/04/2013 20:00,3.84252,1.06011275,0.823,18.52,394.7880818
07/04/2013 21:00,0,0.108441875,0.994,14.94,387.2080266
07/04/2013 22:00,0,0.27110475,0.999,13.99,384.819092
07/04/2013 23:00,0,0,0.983,14.05,384.0539286
07/05/2013 0:00,0,0.005609063,0.999,12.71,382.3763116
07/05/2013 1:00,0,0.7273085,0.999,11.51,382.3634777
07/05/2013 2:00,0,0.75909325,0.999,11.07,382.2336962
