Land Cover Name,Code,Height (m),Density (0-1),Overhang (m)
emergent,0,0,0,0
agriculture_h>2_d5_OH0,100,0,0,0
agriculture_h0-1_d5_OH0,101,0,0,0
agriculture_h0-5_d1_OH0,102,0,0,0
agriculture_h0-5_d2_OH0,103,0,0,0
agriculture_h0-5_d2_OH0-0.5,104,0,0,0
agriculture_h0-5_d3_OH0,105,0,0,0
agriculture_h0-5_d3_OH0-0.5,106,0,0,0
agriculture_h0-5_d4_OH0,107,0,0,0
agriculture_h0-5_d5_OH0,108,0,0,0
agriculture_h10-20_d1_OH0,109,0,0,0
agriculture_h10-20_d2_OH0,110,0,0,0
agriculture_h10-20_d2_OH0-0.5,111,0,0,0
agriculture_h10-20_d2_OH1-2.5,112,0,0,0
agriculture_h10-20_d3_OH0,113,0,0,0
agriculture_h10-20_d3_OH0-0.5,114,0,0,0
agriculture_h10-20_d3_OH1-2.5,115,0,0,0
agriculture_h10-20_d3_OH3-5,116,0,0,0
agriculture_h10-20_d3_OH6-8,117,0,0,0
agriculture_h10-20_d4_OH0,118,0,0,0
agriculture_h1-2_d5_OH0,119,0,0,0
agriculture_h20-30_d2_OH0,120,0,0,0
agriculture_h20-30_d3_OH0,121,0,0,0
agriculture_h30-40_d1_OH0,122,0,0,0
agriculture_h30-40_d2_OH0,123,0,0,0
agriculture_h5-10_d1_OH0,124,0,0,0
agriculture_h5-10_d2_OH0,125,0,0,0
agriculture_h5-10_d2_OH0-0.5,126,0,0,0
agriculture_h5-10_d3_OH0,127,0,0,0
agriculture_h5-10_d3_OH1-2.5,128,0,0,0
agriculture_h5-10_d3_OH3-5,129,0,0,0
agriculture_h5-10_d4_OH0,130,0,0,0
agriculture_h5-10_d4_OH0-0.5,131,0,0,0
agriculture_h5-10_d5_OH0,132,0,0,0
artificial cover_h1_d6_OH50,133,0,0,0
buildings_h0-5_d6_OH0,134,0,0,0
buildings_h10-20_d6_OH0,135,0,0,0
buildings_h5-10_d6_OH0,136,0,0,0
commercial forest_h0-5_d1_OH0,137,0,0,0
commercial forest_h0-5_d2_OH0,138,0,0,0
commercial forest_h0-5_d2_OH0-0.5,139,0,0,0
commercial forest_h0-5_d3_OH0,140,0,0,0
commercial forest_h0-5_d3_OH0-0.5,141,0,0,0
commercial forest_h0-5_d4_OH0,142,0,0,0
commercial forest_h0-5_d5_OH0,143,0,0,0
commercial forest_h0-5_d5_OH0-0.5,144,0,0,0
commercial forest_h10-20_d2_OH0,145,0,0,0
commercial forest_h10-20_d2_OH1-2.5,146,0,0,0
commercial forest_h10-20_d3_OH0,147,0,0,0
commercial forest_h10-20_d3_OH1-2.5,148,0,0,0
commercial forest_h10-20_d4_OH0,149,0,0,0
commercial forest_h10-20_d4_OH1-2.5,150,0,0,0
commercial forest_h10-20_d4_OH3-5,151,0,0,0
commercial forest_h10-20_d5_OH0,152,0,0,0
commercial forest_h10-20_d5_OH0-0.5,153,0,0,0
commercial forest_h10-20_d5_OH1-2.5,154,0,0,0
commercial forest_h10-20_d5_OH3-5,155,0,0,0
commercial forest_h20-30_d1_OH0,156,0,0,0
commercial forest_h20-30_d2_OH0-0.5,157,0,0,0
commercial forest_h20-30_d3_OH0,158,0,0,0
commercial forest_h20-30_d3_OH1-2.5,159,0,0,0
commercial forest_h20-30_d4_OH0,160,0,0,0
commercial forest_h20-30_d4_OH0-0.5,161,0,0,0
commercial forest_h20-30_d4_OH1-2.5,162,0,0,0
commercial forest_h20-30_d4_OH3-5,163,0,0,0
commercial forest_h20-30_d4_OH6-8,164,0,0,0
