Stream_KM,Longitude,Latitude,TopoWest,TopoSouth,TopoEast,Veg0_EMERG,Veg1_NE,Veg2_NE,Veg3_NE,Veg4_NE,Veg5_NE,Veg6_NE,Veg7_NE,Veg8_NE,Veg9_NE,Veg1_E,Veg2_E,Veg3_E,Veg4_E,Veg5_E,Veg6_E,Veg7_E,Veg8_E,Veg9_E,Veg1_SE,Veg2_SE,Veg3_SE,Veg4_SE,Veg5_SE,Veg6_SE,Veg7_SE,Veg8_SE,Veg9_SE,Veg1_S,Veg2_S,Veg3_S,Veg4_S,Veg5_S,Veg6_S,Veg7_S,Veg8_S,Veg9_S,Veg1_SW,Veg2_SW,Veg3_SW,Veg4_SW,Veg5_SW,Veg6_SW,Veg7_SW,Veg8_SW,Veg9_SW,Veg1_W,Veg2_W,Veg3_W,Veg4_W,Veg5_W,Veg6_W,Veg7_W,Veg8_W,Veg9_W,Veg1_NW,Veg2_NW,Veg3_NW,Veg4_NW,Veg5_NW,Veg6_NW,Veg7_NW,Veg8_NW,Veg9_NW,ELEV_V1_NE,ELEV_V2_NE,ELEV_V3_NE,ELEV_V4_NE,ELEV_V5_NE,ELEV_V6_NE,ELEV_V7_NE,ELEV_V8_NE,ELEV_V9_NE,ELEV_V1_E,ELEV_V2_E,ELEV_V3_E,ELEV_V4_E,ELEV_V5_E,ELEV_V6_E,ELEV_V7_E,ELEV_V8_E,ELEV_V9_E,ELEV_V1_SE,ELEV_V2_SE,ELEV_V3_SE,ELEV_V4_SE,ELEV_V5_SE,ELEV_V6_SE,ELEV_V7_SE,ELEV_V8_SE,ELEV_V9_SE,ELEV_V1_S,ELEV_V2_S,ELEV_V3_S,ELEV_V4_S,ELEV_V5_S,ELEV_V6_S,ELEV_V7_S,ELEV_V8_S,ELEV_V9_S,ELEV_V1_SW,ELEV_V2_SW,ELEV_V3_SW,ELEV_V4_SW,ELEV_V5_SW,ELEV_V6_SW,ELEV_V7_SW,ELEV_V8_SW,ELEV_V9_SW,ELEV_V1_W,ELEV_V2_W,ELEV_V3_W,ELEV_V4_W,ELEV_V5_W,ELEV_V6_W,ELEV_V7_W,ELEV_V8_W,ELEV_V9_W,ELEV_V1_NW,ELEV_V2_NW,ELEV_V3_NW,ELEV_V4_NW,ELEV_V5_NW,ELEV_V6_NW,ELEV_V7_NW,ELEV_V8_NW,ELEV_V9_NW,LAT_V1_NE,LAT_V2_NE,LAT_V3_NE,LAT_V4_NE,LAT_V5_NE,LAT_V6_NE,LAT_V7_NE,LAT_V8_NE,LAT_V9_NE,LAT_V1_E,LAT_V2_E,LAT_V3_E,LAT_V4_E,LAT_V5_E,LAT_V6_E,LAT_V7_E,LAT_V8_E,LAT_V9_E,LAT_V1_SE,LAT_V2_SE,LAT_V3_SE,LAT_V4_SE,LAT_V5_SE,LAT_V6_SE,LAT_V7_SE,LAT_V8_SE,LAT_V9_SE,LAT_V1_S,LAT_V2_S,LAT_V3_S,LAT_V4_S,LAT_V5_S,LAT_V6_S,LAT_V7_S,LAT_V8_S,LAT_V9_S,LAT_V1_SW,LAT_V2_SW,LAT_V3_SW,LAT_V4_SW,LAT_V5_SW,LAT_V6_SW,LAT_V7_SW,LAT_V8_SW,LAT_V9_SW,LAT_V1_W,LAT_V2_W,LAT_V3_W,LAT_V4_W,LAT_V5_W,LAT_V6_W,LAT_V7_W,LAT_V8_W,LAT_V9_W,LAT_V1_NW,LAT_V2_NW,LAT_V3_NW,LAT_V4_NW,LAT_V5_NW,LAT_V6_NW,LAT_V7_NW,LAT_V8_NW,LAT_V9_NW,LON_V1_NE,LON_V2_NE,LON_V3_NE,LON_V4_NE,LON_V5_NE,LON_V6_NE,LON_V7_NE,LON_V8_NE,LON_V9_NE,LON_V1_E,LON_V2_E,LON_V3_E,LON_V4_E,LON_V5_E,LON_V6_E,LON_V7_E,LON_V8_E,LON_V9_E,LON_V1_SE,LON_V2_SE,LON_V3_SE,LON_V4_SE,LON_V5_SE,LON_V6_SE,LON_V7_SE,LON_V8_SE,LON_V9_SE,LON_V1_S,LON_V2_S,LON_V3_S,LON_V4_S,LON_V5_S,LON_V6_S,LON_V7_S,LON_V8_S,LON_V9_S,LON_V1_SW,LON_V2_SW,LON_V3_SW,LON_V4_SW,LON_V5_SW,LON_V6_SW,LON_V7_SW,LON_V8_SW,LON_V9_SW,LON_V1_W,LON_V2_W,LON_V3_W,LON_V4_W,LON_V5_W,LON_V6_W,LON_V7_W,LON_V8_W,LON_V9_W,LON_V1_NW,LON_V2_NW,LON_V3_NW,LON_V4_NW,LON_V5_NW,LON_V6_NW,LON_V7_NW,LON_V8_NW,LON_V9_NW
93,16.04167442,47.48511991,0,0,0,0,163,163,163,163,163,156,156,156,156,163,163,163,163,163,163,163,163,163,0,0,0,0,0,0,0,0,0,153,153,153,153,153,101,101,101,101,153,153,101,101,101,101,101,101,101,153,153,153,101,101,101,101,101,101,0,0,0,153,0,0,153,153,153,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,47.48515183,47.48518376,47.48521568,47.4852476,47.48527952,47.48531145,47.48534337,47.48537529,47.48540721,47.48512008,47.48512025,47.48512042,47.48512059,47.48512075,47.48512092,47.48512109,47.48512126,47.48512143,0,0,0,0,0,0,0,0,0,47.48507493,47.48502996,47.48498498,47.48494,47.48489503,47.48485005,47.48480508,47.4847601,47.48471512,47.48508799,47.48505607,47.48502414,47.48499222,47.4849603,47.48492838,47.48489645,47.48486453,47.48483261,47.48511974,47.48511957,47.4851194,47.48511924,47.48511907,47.4851189,47.48511873,47.48511856,47.48511839,0,0,0,47.48524665,0,0,47.4853417,47.48537338,47.48540506,16.04172116,16.0417679,16.04181464,16.04186139,16.04190813,16.04195487,16.04200161,16.04204835,16.04209509,16.04174077,16.04180712,16.04187347,16.04193982,16.04200618,16.04207253,16.04213888,16.04220523,16.04227158,0,0,0,0,0,0,0,0,0,16.04167467,16.04167492,16.04167517,16.04167542,16.04167567,16.04167591,16.04167616,16.04167641,16.04167666,16.04162768,16.04158094,16.0415342,16.04148746,16.04144071,16.04139397,16.04134723,16.04130049,16.04125375,16.04160807,16.04154172,16.04147537,16.04140902,16.04134266,16.04127631,16.04120996,16.04114361,16.04107726,0,0,0,16.04148605,0,0,16.04134477,16.04129767,16.04125058
92.5,16.04610883,47.48183766,0,0,0,0,167,167,167,167,167,167,167,167,167,242,167,167,167,167,167,167,167,167,0,242,242,242,242,242,242,242,242,241,241,241,187,187,187,101,101,101,241,241,187,101,101,101,101,101,101,241,224,224,101,101,101,101,101,101,0,224,224,101,101,101,101,101,101,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,47.48186958,47.4819015,47.48193342,47.48196534,47.48199726,47.48202918,47.4820611,47.48209302,47.48212494,47.48183782,47.48183799,47.48183815,47.48183832,47.48183849,47.48183865,47.48183882,47.48183898,47.48183915,0,47.48177429,47.4817426,47.48171091,47.48167923,47.48164754,47.48161586,47.48158417,47.48155248,47.48179268,47.4817477,47.48170273,47.48165775,47.48161277,47.4815678,47.48152282,47.48147784,47.48143287,47.48180574,47.48177382,47.48174189,47.48170997,47.48167805,47.48164613,47.48161421,47.48158229,47.48155037,47.48183749,47.48183732,47.48183716,47.48183699,47.48183683,47.48183666,47.48183649,47.48183633,47.48183616,0,47.48190103,47.48193271,47.4819644,47.48199608,47.48202777,47.48205946,47.48209114,47.48212283,16.04615557,16.04620231,16.04624906,16.0462958,16.04634254,16.04638928,16.04643602,16.04648276,16.0465295,16.04617518,16.04624153,16.04630787,16.04637422,16.04644057,16.04650691,16.04657326,16.04663961,16.04670596,0,16.04620301,16.0462501,16.04629718,16.04634427,16.04639136,16.04643845,16.04648553,16.04653262,16.04610908,16.04610932,16.04610957,16.04610981,16.04611006,16.0461103,16.04611055,16.04611079,16.04611104,16.04606209,16.04601535,16.04596861,16.04592187,16.04587513,16.04582839,16.04578165,16.04573491,16.04568816,16.04604249,16.04597614,16.04590979,16.04584344,16.0457771,16.04571075,16.0456444,16.04557806,16.04551171,0,16.04601466,16.04596757,16.04592048,16.04587339,16.0458263,16.04577922,16.04573213,16.04568504
92,16.04875071,47.47784453,0,0,0,0,181,181,181,181,181,165,165,165,165,181,181,181,181,181,165,165,165,165,0,0,0,0,0,0,165,165,165,241,241,101,101,101,101,101,101,101,241,241,101,101,101,101,165,165,165,241,241,241,101,101,165,165,165,165,0,241,241,241,241,101,101,101,101,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,47.47787645,47.47790837,47.47794029,47.47797221,47.47800412,47.47803604,47.47806796,47.47809988,47.4781318,47.47784469,47.47784486,47.47784502,47.47784518,47.47784535,47.47784551,47.47784568,47.47784584,47.47784601,0,0,0,0,0,0,47.47762272,47.47759103,47.47755934,47.47779955,47.47775457,47.4777096,47.47766462,47.47761964,47.47757467,47.47752969,47.47748471,47.47743974,47.47781261,47.47778069,47.47774877,47.47771685,47.47768493,47.47765301,47.47762109,47.47758917,47.47755725,47.47784436,47.4778442,47.47784403,47.47784387,47.4778437,47.47784354,47.47784337,47.47784321,47.47784304,0,47.4779079,47.47793959,47.47797127,47.47800296,47.47803465,47.47806633,47.47809802,47.47812971,16.04879745,16.04884418,16.04889092,16.04893766,16.0489844,16.04903114,16.04907788,16.04912462,16.04917136,16.04881705,16.04888339,16.04894973,16.04901607,16.04908242,16.04914876,16.0492151,16.04928144,16.04934778,0,0,0,0,0,0,16.04908028,16.04912737,16.04917445,16.04875095,16.04875119,16.04875143,16.04875168,16.04875192,16.04875216,16.04875241,16.04875265,16.04875289,16.04870397,16.04865723,16.04861049,16.04856375,16.04851701,16.04847027,16.04842353,16.04837679,16.04833006,16.04868436,16.04861802,16.04855168,16.04848534,16.048419,16.04835265,16.04828631,16.04821997,16.04815363,0,16.04865654,16.04860946,16.04856238,16.04851529,16.04846821,16.04842113,16.04837404,16.04832696
91.5,16.05052485,47.47393952,0,0,0,0,151,151,101,101,101,101,101,101,152,151,151,151,101,101,101,101,101,101,0,0,0,0,0,151,151,0,151,151,151,175,175,175,175,175,175,175,151,175,175,175,175,175,175,175,175,151,175,175,175,175,175,175,175,175,0,0,0,151,151,151,151,175,175,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,47.47397144,47.47400336,47.47403528,47.4740672,47.47409912,47.47413104,47.47416296,47.47419488,47.47422679,47.47393969,47.47393985,47.47394002,47.47394018,47.47394034,47.47394051,47.47394067,47.47394083,47.473941,0,0,0,0,0,47.4737494,47.47371771,0,47.47365434,47.47389455,47.47384957,47.47380459,47.47375962,47.47371464,47.47366966,47.47362469,47.47357971,47.47353474,47.47390761,47.47387569,47.47384377,47.47381185,47.47377993,47.47374801,47.47371609,47.47368417,47.47365225,47.47393936,47.4739392,47.47393903,47.47393887,47.47393871,47.47393854,47.47393838,47.47393821,47.47393805,0,0,0,47.47406627,47.47409796,47.47412965,47.47416134,47.47419302,47.47422471,16.05057158,16.05061832,16.05066506,16.05071179,16.05075853,16.05080527,16.05085201,16.05089874,16.05094548,16.05059118,16.05065752,16.05072386,16.0507902,16.05085653,16.05092287,16.05098921,16.05105554,16.05112188,0,0,0,0,0,16.05080731,16.05085439,0,16.05094855,16.05052509,16.05052533,16.05052557,16.05052581,16.05052605,16.05052629,16.05052654,16.05052678,16.05052702,16.05047811,16.05043137,16.05038464,16.0503379,16.05029116,16.05024443,16.05019769,16.05015095,16.05010422,16.05045851,16.05039217,16.05032584,16.0502595,16.05019316,16.05012682,16.05006049,16.04999415,16.04992781,0,0,0,16.05033653,16.05028946,16.05024238,16.0501953,16.05014822,16.05010114
91,16.05304041,47.46998835,0,0,0,0,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,0,187,187,187,187,175,175,175,175,187,187,175,175,175,175,175,175,175,187,175,175,175,175,175,175,175,175,0,187,187,175,175,175,175,175,175,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,47.47002027,47.47005219,47.47008411,47.47011602,47.47014794,47.47017986,47.47021178,47.4702437,47.47027561,47.46998851,47.46998868,47.46998884,47.469989,47.46998916,47.46998932,47.46998949,47.46998965,47.46998981,47.46995666,47.46992498,47.46989329,47.4698616,47.46982991,47.46979822,47.46976653,47.46973484,47.46970315,0,47.4698984,47.46985342,47.46980845,47.46976347,47.46971849,47.46967352,47.46962854,47.46958356,47.46995643,47.46992452,47.4698926,47.46986068,47.46982876,47.46979684,47.46976493,47.46973301,47.46970109,47.46998819,47.46998803,47.46998787,47.4699877,47.46998754,47.46998738,47.46998722,47.46998705,47.46998689,0,47.47005173,47.47008342,47.47011511,47.4701468,47.47017848,47.47021017,47.47024186,47.47027355,16.05308714,16.05313388,16.05318061,16.05322735,16.05327408,16.05332082,16.05336755,16.05341429,16.05346102,16.05310674,16.05317307,16.0532394,16.05330574,16.05337207,16.0534384,16.05350473,16.05357106,16.0536374,16.05308748,16.05313455,16.05318163,16.0532287,16.05327577,16.05332284,16.05336992,16.05341699,16.05346406,0,16.05304089,16.05304113,16.05304136,16.0530416,16.05304184,16.05304208,16.05304232,16.05304256,16.05299367,16.05294694,16.0529002,16.05285347,16.05280673,16.05276,16.05271327,16.05266653,16.0526198,16.05297408,16.05290774,16.05284141,16.05277508,16.05270875,16.05264241,16.05257608,16.05250975,16.05244342,0,16.05294626,16.05289919,16.05285212,16.05280504,16.05275797,16.0527109,16.05266382,16.05261675
90.5,16.05459965,47.4668152,0,0,0,0,162,162,162,162,162,160,160,160,160,162,162,162,162,162,162,162,162,162,0,0,0,0,187,187,187,187,187,187,187,187,187,160,160,160,160,160,187,187,187,160,160,160,160,160,160,187,187,187,187,187,122,122,122,122,0,0,0,0,0,187,0,187,187,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,47.46684712,47.46687903,47.46691095,47.46694287,47.46697479,47.4670067,47.46703862,47.46707054,47.46710245,47.46681536,47.46681552,47.46681568,47.46681584,47.46681601,47.46681617,47.46681633,47.46681649,47.46681665,0,0,0,0,47.46665675,47.46662506,47.46659337,47.46656168,47.46653,47.46677022,47.46672525,47.46668027,47.46663529,47.46659032,47.46654534,47.46650036,47.46645539,47.46641041,47.46678328,47.46675137,47.46671945,47.46668753,47.46665561,47.4666237,47.46659178,47.46655986,47.46652794,47.46681504,47.46681488,47.46681472,47.46681455,47.46681439,47.46681423,47.46681407,47.46681391,47.46681375,0,0,0,0,0,47.46700534,0,47.46706871,47.4671004,16.05464638,16.05469312,16.05473985,16.05478658,16.05483332,16.05488005,16.05492678,16.05497352,16.05502025,16.05466598,16.05473231,16.05479864,16.05486496,16.05493129,16.05499762,16.05506395,16.05513028,16.05519661,0,0,0,0,16.054835,16.05488207,16.05492914,16.0549762,16.05502327,16.05459989,16.05460013,16.05460037,16.0546006,16.05460084,16.05460108,16.05460132,16.05460155,16.05460179,16.05455292,16.05450619,16.05445945,16.05441272,16.05436599,16.05431926,16.05427252,16.05422579,16.05417906,16.05453332,16.054467,16.05440067,16.05433434,16.05426801,16.05420168,16.05413535,16.05406903,16.0540027,0,0,0,0,0,16.05431724,0,16.0542231,16.05417603
90,16.05717649,47.46329321,0,0,0,0,0,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,0,0,0,0,0,0,150,150,150,150,150,150,150,150,187,187,181,181,150,150,150,150,150,187,181,181,181,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,0,47.46335704,47.46338896,47.46342088,47.46345279,47.46348471,47.46351663,47.46354854,47.46358046,47.46329337,47.46329353,47.46329369,47.46329385,47.46329401,47.46329417,47.46329433,47.46329449,47.46329465,47.46326152,47.46322983,47.46319814,47.46316645,47.46313476,47.46310307,47.46307138,47.46303969,47.463008,47.46324824,47.46320326,47.46315828,47.46311331,47.46306833,47.46302335,47.46297838,47.4629334,47.46288842,0,0,0,0,0,0,47.4630698,47.46303788,47.46300597,47.46329305,47.46329289,47.46329273,47.46329257,47.46329241,47.46329225,47.46329209,47.46329193,47.46329177,47.4633249,47.46335659,47.46338828,47.46341997,47.46345166,47.46348335,47.46351504,47.46354673,47.46357842,0,16.05726996,16.05731669,16.05736342,16.05741015,16.05745688,16.05750362,16.05755035,16.05759708,16.05724282,16.05730914,16.05737547,16.05744179,16.05750811,16.05757444,16.05764076,16.05770708,16.05777341,16.05722356,16.05727062,16.05731769,16.05736475,16.05741182,16.05745888,16.05750594,16.05755301,16.05760007,16.05717673,16.05717697,16.0571772,16.05717744,16.05717767,16.05717791,16.05717814,16.05717838,16.05717861,0,0,0,0,0,0,16.05684938,16.05680264,16.05675591,16.05711017,16.05704385,16.05697752,16.0569112,16.05684488,16.05677855,16.05671223,16.0566459,16.05657958,16.05712943,16.05708237,16.0570353,16.05698824,16.05694117,16.05689411,16.05684704,16.05679998,16.05675291
89.5,16.05409375,47.45988555,0,0,0,0,264,264,167,167,167,167,167,167,167,264,264,167,167,167,167,167,167,167,0,264,167,167,167,167,167,167,167,264,264,264,236,236,236,236,236,236,264,264,264,264,264,101,101,101,101,264,264,264,264,264,101,273,273,273,0,264,264,264,264,264,264,264,264,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,47.45991747,47.45994938,47.4599813,47.46001322,47.46004514,47.46007705,47.46010897,47.46014089,47.46017281,47.45988571,47.45988587,47.45988603,47.45988619,47.45988636,47.45988652,47.45988668,47.45988684,47.459887,0,47.45982217,47.45979048,47.45975879,47.4597271,47.45969541,47.45966372,47.45963203,47.45960035,47.45984057,47.4597956,47.45975062,47.45970564,47.45966066,47.45961569,47.45957071,47.45952573,47.45948076,47.45985363,47.45982171,47.4597898,47.45975788,47.45972596,47.45969404,47.45966213,47.45963021,47.45959829,47.45988539,47.45988523,47.45988506,47.4598849,47.45988474,47.45988458,47.45988442,47.45988426,47.45988409,0,47.45994893,47.45998062,47.4600123,47.46004399,47.46007568,47.46010737,47.46013906,47.46017075,16.05414048,16.0541872,16.05423393,16.05428066,16.05432738,16.05437411,16.05442084,16.05446756,16.05451429,16.05416007,16.05422639,16.05429271,16.05435903,16.05442535,16.05449167,16.05455799,16.0546243,16.05469062,0,16.05418788,16.05423494,16.054282,16.05432907,16.05437613,16.05442319,16.05447025,16.05451732,16.05409399,16.05409423,16.05409446,16.0540947,16.05409494,16.05409518,16.05409542,16.05409565,16.05409589,16.05404702,16.0540003,16.05395357,16.05390684,16.05386012,16.05381339,16.05376666,16.05371994,16.05367321,16.05402743,16.05396111,16.05389479,16.05382847,16.05376215,16.05369583,16.05362951,16.05356319,16.05349687,0,16.05399962,16.05395256,16.0539055,16.05385843,16.05381137,16.0537643,16.05371724,16.05367018
89,16.05610377,47.45589085,0,0,0,0,187,101,101,101,101,101,101,101,101,249,249,187,101,101,101,101,101,101,0,0,0,249,260,260,260,260,260,249,249,187,187,160,160,160,160,160,133,187,160,160,160,160,160,160,160,133,187,187,160,160,160,160,160,160,0,109,109,109,109,109,109,187,187,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,47.45592276,47.45595468,47.4559866,47.45601851,47.45605043,47.45608235,47.45611426,47.45614618,47.4561781,47.45589101,47.45589117,47.45589133,47.45589149,47.45589165,47.45589181,47.45589197,47.45589213,47.45589229,0,0,0,47.45576409,47.4557324,47.45570071,47.45566902,47.45563733,47.45560564,47.45584587,47.45580089,47.45575592,47.45571094,47.45566596,47.45562099,47.45557601,47.45553103,47.45548606,47.45585893,47.45582701,47.4557951,47.45576318,47.45573126,47.45569935,47.45566743,47.45563551,47.4556036,47.45589069,47.45589053,47.45589037,47.45589021,47.45589005,47.45588988,47.45588972,47.45588956,47.4558894,0,47.45595423,47.45598592,47.45601761,47.4560493,47.45608099,47.45611268,47.45614437,47.45617606,16.05615049,16.05619721,16.05624394,16.05629066,16.05633739,16.05638411,16.05643084,16.05647756,16.05652429,16.05617008,16.05623639,16.05630271,16.05636902,16.05643534,16.05650165,16.05656797,16.05663428,16.0567006,0,0,0,16.056292,16.05633906,16.05638612,16.05643317,16.05648023,16.05652729,16.056104,16.05610424,16.05610448,16.05610471,16.05610495,16.05610518,16.05610542,16.05610566,16.05610589,16.05605704,16.05601032,16.05596359,16.05591687,16.05587015,16.05582342,16.0557767,16.05572997,16.05568325,16.05603745,16.05597114,16.05590482,16.05583851,16.05577219,16.05570588,16.05563956,16.05557325,16.05550694,0,16.05600965,16.05596259,16.05591553,16.05586847,16.05582141,16.05577435,16.0557273,16.05568024
88.5,16.05986314,47.45240101,0,0,0,0,259,259,259,259,259,259,259,259,259,259,259,101,101,101,101,101,101,101,259,259,259,259,259,101,101,101,101,260,260,260,260,260,260,260,260,260,260,260,260,101,101,101,101,101,187,260,260,260,101,101,101,101,101,187,0,260,260,260,260,260,260,260,101,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,47.45243293,47.45246484,47.45249676,47.45252867,47.45256059,47.4525925,47.45262442,47.45265633,47.45268825,47.45240117,47.45240133,47.45240148,47.45240164,47.4524018,47.45240196,47.45240212,47.45240227,47.45240243,47.45236932,47.45233763,47.45230594,47.45227424,47.45224255,47.45221086,47.45217917,47.45214748,47.45211579,47.45235603,47.45231106,47.45226608,47.4522211,47.45217613,47.45213115,47.45208617,47.4520412,47.45199622,47.4523691,47.45233718,47.45230526,47.45227335,47.45224143,47.45220952,47.4521776,47.45214569,47.45211377,47.45240085,47.45240069,47.45240054,47.45240038,47.45240022,47.45240006,47.4523999,47.45239974,47.45239959,0,47.45246439,47.45249608,47.45252778,47.45255947,47.45259116,47.45262285,47.45265454,47.45268623,16.05990986,16.05995659,16.06000331,16.06005003,16.06009676,16.06014348,16.0601902,16.06023693,16.06028365,16.05992945,16.05999576,16.06006207,16.06012838,16.06019469,16.060261,16.06032731,16.06039362,16.06045993,16.05991019,16.05995725,16.0600043,16.06005135,16.0600984,16.06014546,16.06019251,16.06023956,16.06028662,16.05986337,16.05986361,16.05986384,16.05986407,16.0598643,16.05986454,16.05986477,16.059865,16.05986524,16.05981642,16.05976969,16.05972297,16.05967625,16.05962952,16.0595828,16.05953608,16.05948935,16.05944263,16.05979683,16.05973052,16.05966421,16.0595979,16.05953159,16.05946528,16.05939897,16.05933266,16.05926635,0,16.05976903,16.05972198,16.05967493,16.05962787,16.05958082,16.05953377,16.05948671,16.05943966
