Stream_KM,Longitude,Latitude,TopoWest,TopoSouth,TopoEast,Veg0_EMERG,Veg1_NE,Veg2_NE,Veg3_NE,Veg4_NE,Veg5_NE,Veg6_NE,Veg7_NE,Veg8_NE,Veg9_NE,Veg1_E,Veg2_E,Veg3_E,Veg4_E,Veg5_E,Veg6_E,Veg7_E,Veg8_E,Veg9_E,Veg1_SE,Veg2_SE,Veg3_SE,Veg4_SE,Veg5_SE,Veg6_SE,Veg7_SE,Veg8_SE,Veg9_SE,Veg1_S,Veg2_S,Veg3_S,Veg4_S,Veg5_S,Veg6_S,Veg7_S,Veg8_S,Veg9_S,Veg1_SW,Veg2_SW,Veg3_SW,Veg4_SW,Veg5_SW,Veg6_SW,Veg7_SW,Veg8_SW,Veg9_SW,Veg1_W,Veg2_W,Veg3_W,Veg4_W,Veg5_W,Veg6_W,Veg7_W,Veg8_W,Veg9_W,Veg1_NW,Veg2_NW,Veg3_NW,Veg4_NW,Veg5_NW,Veg6_NW,Veg7_NW,Veg8_NW,Veg9_NW,ELEV_V1_NE,ELEV_V2_NE,ELEV_V3_NE,ELEV_V4_NE,ELEV_V5_NE,ELEV_V6_NE,ELEV_V7_NE,ELEV_V8_NE,ELEV_V9_NE,ELEV_V1_E,ELEV_V2_E,ELEV_V3_E,ELEV_V4_E,ELEV_V5_E,ELEV_V6_E,ELEV_V7_E,ELEV_V8_E,ELEV_V9_E,ELEV_V1_SE,ELEV_V2_SE,ELEV_V3_SE,ELEV_V4_SE,ELEV_V5_SE,ELEV_V6_SE,ELEV_V7_SE,ELEV_V8_SE,ELEV_V9_SE,ELEV_V1_S,ELEV_V2_S,ELEV_V3_S,ELEV_V4_S,ELEV_V5_S,ELEV_V6_S,ELEV_V7_S,ELEV_V8_S,ELEV_V9_S,ELEV_V1_SW,ELEV_V2_SW,ELEV_V3_SW,ELEV_V4_SW,ELEV_V5_SW,ELEV_V6_SW,ELEV_V7_SW,ELEV_V8_SW,ELEV_V9_SW,ELEV_V1_W,ELEV_V2_W,ELEV_V3_W,ELEV_V4_W,ELEV_V5_W,ELEV_V6_W,ELEV_V7_W,ELEV_V8_W,ELEV_V9_W,ELEV_V1_NW,ELEV_V2_NW,ELEV_V3_NW,ELEV_V4_NW,ELEV_V5_NW,ELEV_V6_NW,ELEV_V7_NW,ELEV_V8_NW,ELEV_V9_NW,LAT_V1_NE,LAT_V2_NE,LAT_V3_NE,LAT_V4_NE,LAT_V5_NE,LAT_V6_NE,LAT_V7_NE,LAT_V8_NE,LAT_V9_NE,LAT_V1_E,LAT_V2_E,LAT_V3_E,LAT_V4_E,LAT_V5_E,LAT_V6_E,LAT_V7_E,LAT_V8_E,LAT_V9_E,LAT_V1_SE,LAT_V2_SE,LAT_V3_SE,LAT_V4_SE,LAT_V5_SE,LAT_V6_SE,LAT_V7_SE,LAT_V8_SE,LAT_V9_SE,LAT_V1_S,LAT_V2_S,LAT_V3_S,LAT_V4_S,LAT_V5_S,LAT_V6_S,LAT_V7_S,LAT_V8_S,LAT_V9_S,LAT_V1_SW,LAT_V2_SW,LAT_V3_SW,LAT_V4_SW,LAT_V5_SW,LAT_V6_SW,LAT_V7_SW,LAT_V8_SW,LAT_V9_SW,LAT_V1_W,LAT_V2_W,LAT_V3_W,LAT_V4_W,LAT_V5_W,LAT_V6_W,LAT_V7_W,LAT_V8_W,LAT_V9_W,LAT_V1_NW,LAT_V2_NW,LAT_V3_NW,LAT_V4_NW,LAT_V5_NW,LAT_V6_NW,LAT_V7_NW,LAT_V8_NW,LAT_V9_NW,LON_V1_NE,LON_V2_NE,LON_V3_NE,LON_V4_NE,LON_V5_NE,LON_V6_NE,LON_V7_NE,LON_V8_NE,LON_V9_NE,LON_V1_E,LON_V2_E,LON_V3_E,LON_V4_E,LON_V5_E,LON_V6_E,LON_V7_E,LON_V8_E,LON_V9_E,LON_V1_SE,LON_V2_SE,LON_V3_SE,LON_V4_SE,LON_V5_SE,LON_V6_SE,LON_V7_SE,LON_V8_SE,LON_V9_SE,LON_V1_S,LON_V2_S,LON_V3_S,LON_V4_S,LON_V5_S,LON_V6_S,LON_V7_S,LON_V8_S,LON_V9_S,LON_V1_SW,LON_V2_SW,LON_V3_SW,LON_V4_SW,LON_V5_SW,LON_V6_SW,LON_V7_SW,LON_V8_SW,LON_V9_SW,LON_V1_W,LON_V2_W,LON_V3_W,LON_V4_W,LON_V5_W,LON_V6_W,LON_V7_W,LON_V8_W,LON_V9_W,LON_V1_NW,LON_V2_NW,LON_V3_NW,LON_V4_NW,LON_V5_NW,LON_V6_NW,LON_V7_NW,LON_V8_NW,LON_V9_NW
93,16.0416744203,47.4851199108,0,0,0,0,163,163,163,163,163,156,156,156,156,163,163,163,163,163,163,163,163,163,0,0,0,0,0,0,0,0,0,153,153,153,153,153,101,101,101,101,153,153,101,101,101,101,101,101,101,153,153,153,101,101,101,101,101,101,0,0,0,153,0,0,153,153,153,705,706,710,713,714,714,714,715,715,705,705,706,708,712,714,714,716,719,0,0,0,0,0,0,0,0,0,702,700,700,700,700,700,700,701,701,702,700,700,701,701,701,701,702,705,702,700,701,701,701,702,702,702,702,0,0,0,705,0,0,703,702,702,47.4851518332,47.4851837557,47.4852156782,47.4852476006,47.485279523,47.4853114454,47.4853433677,47.4853752901,47.4854072124,47.4851200795,47.4851202482,47.4851204169,47.4851205855,47.4851207541,47.4851209226,47.4851210911,47.4851212596,47.485121428,0,0,0,0,0,0,0,0,0,47.4850749343,47.4850299578,47.4849849814,47.4849400049,47.4848950285,47.484850052,47.4848050755,47.4847600991,47.4847151226,47.4850879883,47.4850560657,47.4850241432,47.4849922206,47.4849602981,47.4849283755,47.4848964529,47.4848645302,47.4848326076,47.485119742,47.4851195732,47.4851194043,47.4851192354,47.4851190665,47.4851188975,47.4851187285,47.4851185595,47.4851183904,0,0,0,47.4852466459,0,0,47.4853416971,47.4853733808,47.4854050644,16.0417211616,16.041767903,16.0418146444,16.0418613859,16.0419081274,16.041954869,16.0420016107,16.0420483524,16.0420950941,16.0417407714,16.0418071225,16.0418734736,16.0419398248,16.0420061759,16.042072527,16.0421388781,16.0422052293,16.0422715804,0,0,0,0,0,0,0,0,0,16.0416746692,16.0416749182,16.0416751672,16.0416754161,16.0416756651,16.041675914,16.041676163,16.0416764119,16.0416766609,16.041627679,16.0415809378,16.0415341967,16.0414874556,16.0414407146,16.0413939736,16.0413472327,16.0413004918,16.041253751,16.0416080692,16.041541718,16.0414753669,16.0414090158,16.0413426647,16.0412763136,16.0412099624,16.0411436113,16.0410772602,0,0,0,16.0414860463,0,0,16.0413447653,16.0412976715,16.0412505777
92.5,16.0461088321,47.4818376564,0,0,0,0,167,167,167,167,167,167,167,167,167,242,167,167,167,167,167,167,167,167,0,242,242,242,242,242,242,242,242,241,241,241,187,187,187,101,101,101,241,241,187,101,101,101,101,101,101,241,224,224,101,101,101,101,101,101,0,224,224,101,101,101,101,101,101,683,686,691,695,699,702,705,708,711,682,685,689,692,695,698,700,703,705,0,682,682,682,682,683,683,682,682,681,683,683,683,683,683,683,683,683,682,683,684,684,684,685,685,685,686,682,683,683,683,684,684,684,684,685,0,682,683,683,683,684,684,684,684,47.4818695771,47.4819014978,47.4819334184,47.4819653391,47.4819972597,47.4820291803,47.4820611009,47.4820930214,47.482124942,47.4818378226,47.4818379887,47.4818381548,47.4818383209,47.4818384869,47.4818386529,47.4818388188,47.4818389847,47.4818391505,0,47.481774285,47.4817425993,47.4817109136,47.4816792278,47.481647542,47.4816158562,47.4815841704,47.4815524845,47.4817926799,47.4817477034,47.4817027269,47.4816577504,47.4816127739,47.4815677974,47.4815228209,47.4814778444,47.4814328679,47.4818057357,47.481773815,47.4817418942,47.4817099735,47.4816780527,47.4816461319,47.4816142111,47.4815822902,47.4815503693,47.4818374902,47.481837324,47.4818371577,47.4818369914,47.481836825,47.4818366586,47.4818364922,47.4818363257,47.4818361592,0,47.4819010277,47.4819327134,47.481964399,47.4819960846,47.4820277702,47.4820594557,47.4820911412,47.4821228268,16.0461555732,16.0462023144,16.0462490556,16.0462957969,16.0463425382,16.0463892796,16.0464360211,16.0464827626,16.0465295041,16.0461751791,16.0462415262,16.0463078732,16.0463742202,16.0464405672,16.0465069142,16.0465732612,16.0466396083,16.0467059553,0,16.0462030076,16.0462500952,16.0462971828,16.0463442703,16.0463913577,16.0464384451,16.0464855325,16.0465326198,16.0461090773,16.0461093224,16.0461095676,16.0461098127,16.0461100579,16.046110303,16.0461105482,16.0461107933,16.0461110384,16.0460620911,16.0460153501,16.0459686092,16.0459218683,16.0458751275,16.0458283867,16.045781646,16.0457349053,16.0456881647,16.0460424851,16.0459761381,16.0459097911,16.0458434441,16.0457770971,16.0457107501,16.0456444031,16.045578056,16.045511709,0,16.0460146565,16.0459675686,16.0459204806,16.0458733926,16.0458263045,16.0457792164,16.0457321282,16.0456850399
92,16.0487507063,47.4778445265,0,0,0,0,181,181,181,181,181,165,165,165,165,181,181,181,181,181,165,165,165,165,0,0,0,0,0,0,165,165,165,241,241,101,101,101,101,101,101,101,241,241,101,101,101,101,165,165,165,241,241,241,101,101,165,165,165,165,0,241,241,241,241,101,101,101,101,666,666,665,666,667,669,671,674,676,665,665,664,665,667,670,672,675,678,0,0,0,0,0,0,664,663,663,665,665,664,665,665,665,664,664,664,665,665,665,665,665,665,664,665,667,665,665,666,666,666,665,666,666,670,0,665,665,666,666,666,667,667,667,47.4778764462,47.4779083658,47.4779402854,47.477972205,47.4780041245,47.4780360441,47.4780679636,47.4780998831,47.4781318025,47.4778446912,47.4778448558,47.4778450203,47.4778451848,47.4778453493,47.4778455137,47.4778456781,47.4778458425,47.4778460068,0,0,0,0,0,0,47.4776227185,47.4775910315,47.4775593446,47.47779955,47.4777545734,47.4777095969,47.4776646204,47.4776196438,47.4775746673,47.4775296907,47.4774847142,47.4774397376,47.4778126069,47.4777806872,47.4777487675,47.4777168478,47.4776849281,47.4776530083,47.4776210886,47.4775891688,47.477557249,47.4778443619,47.4778441972,47.4778440324,47.4778438676,47.4778437028,47.477843538,47.4778433731,47.4778432081,47.4778430432,0,47.4779079001,47.4779395868,47.4779712736,47.4780029603,47.478034647,47.4780663336,47.4780980203,47.4781297069,16.0487974454,16.0488441847,16.048890924,16.0489376633,16.0489844027,16.0490311422,16.0490778817,16.0491246213,16.0491713609,16.0488170483,16.0488833903,16.0489497323,16.0490160743,16.0490824163,16.0491487583,16.0492151003,16.0492814423,16.0493477843,0,0,0,0,0,0,16.0490802831,16.0491273653,16.0491744474,16.0487509491,16.048751192,16.0487514348,16.0487516777,16.0487519206,16.0487521634,16.0487524063,16.0487526491,16.048752892,16.0487039671,16.0486572281,16.0486104891,16.0485637501,16.0485170112,16.0484702724,16.0484235336,16.0483767949,16.0483300562,16.0486843643,16.0486180223,16.0485516803,16.0484853383,16.0484189963,16.0483526543,16.0482863123,16.0482199703,16.0481536283,0,16.0486565409,16.0486094582,16.0485623754,16.0485152925,16.0484682096,16.0484211266,16.0483740436,16.0483269605
91.5,16.0505248468,47.4739395243,0,0,0,0,151,151,101,101,101,101,101,101,152,151,151,151,101,101,101,101,101,101,0,0,0,0,0,151,151,0,151,151,151,175,175,175,175,175,175,175,151,175,175,175,175,175,175,175,175,151,175,175,175,175,175,175,175,175,0,0,0,151,151,151,151,175,175,649,650,650,650,650,651,651,652,654,649,649,650,650,650,650,650,651,652,0,0,0,0,0,649,649,0,648,651,653,656,658,659,660,661,662,663,652,657,661,664,667,669,671,675,678,651,655,659,662,665,668,672,675,677,0,0,0,651,652,652,653,656,658,47.4739714432,47.4740033621,47.474035281,47.4740671999,47.4740991188,47.4741310376,47.4741629564,47.4741948752,47.474226794,47.4739396879,47.4739398515,47.473940015,47.4739401784,47.4739403419,47.4739405053,47.4739406686,47.473940832,47.4739409952,0,0,0,0,0,47.4737493986,47.4737177109,0,47.4736543355,47.4738945477,47.4738495711,47.4738045946,47.473759618,47.4737146414,47.4736696648,47.4736246882,47.4735797116,47.4735347351,47.4739076054,47.4738756864,47.4738437674,47.4738118484,47.4737799294,47.4737480104,47.4737160913,47.4736841722,47.4736522531,47.4739393607,47.473939197,47.4739390333,47.4739388696,47.4739387058,47.473938542,47.4739383781,47.4739382142,47.4739380503,0,0,0,47.4740662744,47.4740979619,47.4741296493,47.4741613367,47.4741930241,47.4742247115,16.0505715836,16.0506183204,16.0506650574,16.0507117943,16.0507585314,16.0508052685,16.0508520056,16.0508987428,16.0509454801,16.0505911839,16.050657521,16.0507238581,16.0507901952,16.0508565323,16.0509228694,16.0509892065,16.0510555436,16.0511218807,0,0,0,0,0,16.050807314,16.0508543917,0,16.0509485469,16.0505250881,16.0505253294,16.0505255707,16.050525812,16.0505260533,16.0505262946,16.0505265359,16.0505267773,16.0505270186,16.05047811,16.0504313733,16.0503846367,16.0503379001,16.0502911636,16.0502444271,16.0501976907,16.0501509544,16.0501042181,16.0504585097,16.0503921726,16.0503258355,16.0502594984,16.0501931613,16.0501268242,16.0500604871,16.04999415,16.0499278129,0,0,0,16.0503365341,16.0502894558,16.0502423775,16.0501952991,16.0501482206,16.0501011421
91,16.0530404077,47.4699883527,0,0,0,0,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,0,187,187,187,187,175,175,175,175,187,187,175,175,175,175,175,175,175,187,175,175,175,175,175,175,175,175,0,187,187,175,175,175,175,175,175,636,635,635,634,633,635,639,643,648,636,634,634,634,632,633,638,642,646,636,635,634,634,632,633,633,632,631,0,637,638,639,639,639,640,640,641,640,641,644,645,648,650,653,656,658,639,642,644,646,649,652,655,658,660,0,638,640,640,642,643,645,645,645,47.4700202706,47.4700521885,47.4700841064,47.4701160242,47.4701479421,47.4701798599,47.4702117777,47.4702436955,47.4702756132,47.4699885148,47.4699886769,47.4699888389,47.4699890009,47.4699891629,47.4699893248,47.4699894867,47.4699896486,47.4699898104,47.469956664,47.4699249754,47.4698932867,47.469861598,47.4698299093,47.4697982206,47.4697665318,47.4697348431,47.4697031543,0,47.4698983994,47.4698534228,47.4698084462,47.4697634695,47.4697184929,47.4696735163,47.4696285397,47.469583563,47.4699564347,47.4699245168,47.4698925988,47.4698606808,47.4698287628,47.4697968447,47.4697649267,47.4697330086,47.4697010905,47.4699881905,47.4699880283,47.4699878661,47.4699877038,47.4699875415,47.4699873791,47.4699872167,47.4699870543,47.4699868918,0,47.4700517299,47.4700834184,47.470115107,47.4701467955,47.470178484,47.4702101725,47.470241861,47.4702735495,16.0530871425,16.0531338774,16.0531806124,16.0532273474,16.0532740824,16.0533208176,16.0533675527,16.053414288,16.0534610233,16.0531067398,16.0531730719,16.0532394041,16.0533057362,16.0533720684,16.0534384005,16.0535047327,16.0535710648,16.0536373969,16.0530874806,16.0531345536,16.0531816264,16.0532286992,16.053275772,16.0533228446,16.0533699173,16.0534169898,16.0534640624,0,16.0530408859,16.0530411251,16.0530413642,16.0530416033,16.0530418425,16.0530420816,16.0530423207,16.0530425598,16.0529936729,16.0529469382,16.0529002035,16.0528534689,16.0528067343,16.0527599998,16.0527132654,16.052666531,16.0526197966,16.0529740755,16.0529077434,16.0528414113,16.0527750791,16.052708747,16.0526424148,16.0525760827,16.0525097506,16.0524434184,0,16.0529462616,16.0528991884,16.0528521152,16.052805042,16.0527579687,16.0527108953,16.0526638219,16.0526167484
90.5,16.0545996518,47.4668151997,0,0,0,0,162,162,162,162,162,160,160,160,160,162,162,162,162,162,162,162,162,162,0,0,0,0,187,187,187,187,187,187,187,187,187,160,160,160,160,160,187,187,187,160,160,160,160,160,160,187,187,187,187,187,122,122,122,122,0,0,0,0,0,187,0,187,187,615,616,619,622,624,628,632,634,638,615,615,616,616,617,619,620,621,622,0,0,0,0,613,613,613,613,613,614,614,614,616,615,618,621,623,626,614,615,616,617,621,623,626,628,631,614,614,615,616,617,619,621,623,625,0,0,0,0,0,616,0,616,616,47.466847117,47.4668790343,47.4669109515,47.4669428688,47.466974786,47.4670067032,47.4670386204,47.4670705375,47.4671024547,47.4668153609,47.4668155221,47.4668156832,47.4668158443,47.4668160054,47.4668161664,47.4668163274,47.4668164883,47.4668166492,0,0,0,0,47.466656753,47.4666250636,47.4665933742,47.4665616848,47.4665299953,47.466770223,47.4667252464,47.4666802697,47.4666352931,47.4665903164,47.4665453397,47.4665003631,47.4664553864,47.4664104098,47.4667832824,47.466751365,47.4667194477,47.4666875303,47.4666556129,47.4666236955,47.4665917781,47.4665598606,47.4665279431,47.4668150384,47.4668148771,47.4668147158,47.4668145544,47.466814393,47.4668142316,47.4668140701,47.4668139086,47.466813747,0,0,0,0,0,47.4670053351,0,47.4670687134,47.4671004025,16.0546463848,16.0546931178,16.0547398509,16.0547865841,16.0548333173,16.0548800505,16.0549267839,16.0549735173,16.0550202507,16.05466598,16.0547323081,16.0547986363,16.0548649644,16.0549312926,16.0549976207,16.0550639489,16.0551302771,16.0551966052,0,0,0,0,16.0548349972,16.0548820661,16.054929135,16.0549762038,16.0550232725,16.0545998896,16.0546001273,16.0546003651,16.0546006029,16.0546008407,16.0546010784,16.0546013162,16.054601554,16.0546017918,16.0545529189,16.054506186,16.0544594532,16.0544127204,16.0543659877,16.0543192551,16.0542725225,16.05422579,16.0541790575,16.0545333236,16.0544669955,16.0544006673,16.0543343392,16.054268011,16.0542016829,16.0541353547,16.0540690266,16.0540026984,0,0,0,0,0,16.0543172354,0,16.0542230962,16.0541760265
90,16.0571764942,47.4632932122,0,0,0,0,0,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,0,0,0,0,0,0,150,150,150,150,150,150,150,150,187,187,181,181,150,150,150,150,150,187,181,181,181,0,600,601,603,606,607,611,614,616,600,604,607,611,615,619,622,625,628,602,606,611,614,618,621,625,627,631,602,604,607,609,611,613,615,618,621,0,0,0,0,0,0,598,598,597,599,600,600,603,608,611,612,616,619,599,600,603,605,609,610,612,614,616,0,47.4633570447,47.463388961,47.4634208772,47.4634527934,47.4634847095,47.4635166257,47.4635485418,47.4635804579,47.4632933719,47.4632935316,47.4632936913,47.4632938509,47.4632940104,47.4632941699,47.4632943294,47.4632944889,47.4632946483,47.4632615218,47.4632298314,47.463198141,47.4631664506,47.4631347601,47.4631030696,47.4630713791,47.4630396886,47.4630079981,47.4632482355,47.4632032588,47.4631582821,47.4631133055,47.4630683288,47.4630233521,47.4629783754,47.4629333987,47.462888422,0,0,0,0,0,0,47.4630697978,47.4630378814,47.463005965,47.4632930525,47.4632928927,47.4632927328,47.463292573,47.4632924131,47.4632922531,47.4632920931,47.4632919331,47.4632917731,47.4633249026,47.4633565929,47.4633882833,47.4634199736,47.4634516639,47.4634833541,47.4635150444,47.4635467346,47.4635784248,0,16.0572699571,16.0573166887,16.0573634203,16.0574101519,16.0574568837,16.0575036154,16.0575503473,16.0575970792,16.0572428179,16.0573091417,16.0573754654,16.0574417892,16.0575081129,16.0575744366,16.0576407604,16.0577070841,16.0577734079,16.0572235587,16.0572706231,16.0573176875,16.0573647518,16.0574118161,16.0574588803,16.0575059445,16.0575530086,16.0576000726,16.0571767297,16.0571769653,16.0571772008,16.0571774364,16.0571776719,16.0571779075,16.057178143,16.0571783786,16.0571786141,0,0,0,0,0,0,16.0568493757,16.0568026447,16.0567559138,16.0571101704,16.0570438467,16.056977523,16.0569111992,16.0568448755,16.0567785518,16.056712228,16.0566459043,16.0565795805,16.0571294296,16.057082365,16.0570353004,16.0569882356,16.0569411709,16.056894106,16.0568470411,16.0567999762,16.0567529112
89.5,16.0540937492,47.4598855484,0,0,0,0,264,264,167,167,167,167,167,167,167,264,264,167,167,167,167,167,167,167,0,264,167,167,167,167,167,167,167,264,264,264,236,236,236,236,236,236,264,264,264,264,264,101,101,101,101,264,264,264,264,264,101,273,273,273,0,264,264,264,264,264,264,264,264,576,580,584,588,591,594,597,600,602,578,582,585,590,594,598,601,605,608,0,579,582,584,587,590,592,594,597,573,573,573,573,572,572,571,571,571,572,573,573,573,572,573,574,574,574,573,573,573,573,574,574,575,574,574,0,574,574,574,574,575,574,575,574,47.459917466,47.4599493835,47.459981301,47.4600132184,47.4600451359,47.4600770533,47.4601089707,47.4601408881,47.4601728055,47.4598857099,47.4598858714,47.4598860328,47.4598861942,47.4598863555,47.4598865168,47.4598866781,47.4598868393,47.4598870005,0,47.4598221701,47.459790481,47.4597587918,47.4597271025,47.4596954133,47.459663724,47.4596320348,47.4596003455,47.4598405717,47.459795595,47.4597506183,47.4597056416,47.4596606649,47.4596156882,47.4595707115,47.4595257348,47.4594807581,47.4598536309,47.4598217133,47.4597897957,47.4597578781,47.4597259605,47.4596940429,47.4596621252,47.4596302075,47.4595982898,47.4598853869,47.4598852253,47.4598850637,47.4598849021,47.4598847404,47.4598845787,47.4598844169,47.4598842551,47.4598840933,0,47.4599489267,47.4599806157,47.4600123048,47.4600439938,47.4600756829,47.4601073719,47.4601390608,47.4601707498,16.0541404757,16.0541872023,16.054233929,16.0542806557,16.0543273825,16.0543741093,16.0544208362,16.0544675632,16.0545142902,16.0541600686,16.054226388,16.0542927075,16.0543590269,16.0544253464,16.0544916658,16.0545579852,16.0546243047,16.0546906241,0,16.0541878757,16.0542349389,16.054282002,16.0543290651,16.0543761281,16.054423191,16.0544702539,16.0545173168,16.0540939873,16.0540942255,16.0540944636,16.0540947018,16.0540949399,16.0540951781,16.0540954162,16.0540956543,16.0540958925,16.0540470227,16.0540002962,16.0539535698,16.0539068435,16.0538601172,16.053813391,16.0537666649,16.0537199388,16.0536732127,16.0540274297,16.0539611103,16.0538947909,16.0538284714,16.053762152,16.0536958326,16.0536295131,16.0535631937,16.0534968743,0,16.0539996224,16.0539525589,16.0539054954,16.0538584319,16.0538113682,16.0537643045,16.0537172408,16.053670177
89,16.0561037658,47.4558908474,0,0,0,0,187,101,101,101,101,101,101,101,101,249,249,187,101,101,101,101,101,101,0,0,0,249,260,260,260,260,260,249,249,187,187,160,160,160,160,160,133,187,160,160,160,160,160,160,160,133,187,187,160,160,160,160,160,160,0,109,109,109,109,109,109,187,187,559,559,560,560,560,561,561,561,562,559,559,559,559,559,559,559,559,559,0,0,0,557,557,556,557,557,557,557,559,559,559,559,560,561,562,563,557,560,560,562,564,566,567,571,576,557,560,560,563,566,569,571,573,575,0,557,558,558,559,560,561,562,562,47.4559227641,47.4559546808,47.4559865975,47.4560185141,47.4560504308,47.4560823474,47.456114264,47.4561461806,47.4561780972,47.4558910077,47.4558911679,47.4558913282,47.4558914884,47.4558916486,47.4558918087,47.4558919688,47.4558921288,47.4558922888,0,0,0,47.4557640872,47.4557323972,47.4557007071,47.455669017,47.4556373268,47.4556056367,47.4558458706,47.4558008939,47.4557559171,47.4557109404,47.4556659636,47.4556209869,47.4555760101,47.4555310334,47.4554860566,47.4558589306,47.4558270138,47.4557950971,47.4557631803,47.4557312634,47.4556993466,47.4556674297,47.4556355128,47.4556035959,47.455890687,47.4558905266,47.4558903662,47.4558902057,47.4558900452,47.4558898846,47.4558897241,47.4558895634,47.4558894028,0,47.4559542273,47.4559859172,47.4560176071,47.456049297,47.4560809869,47.4561126768,47.4561443666,47.4561760564,16.0561504901,16.0561972144,16.0562439388,16.0562906632,16.0563373876,16.0563841122,16.0564308368,16.0564775614,16.0565242861,16.0561700803,16.0562363947,16.0563027091,16.0563690235,16.056435338,16.0565016524,16.0565679668,16.0566342813,16.0567005957,0,0,0,16.0562919996,16.0563390578,16.0563861161,16.0564331743,16.0564802324,16.0565272904,16.0561040022,16.0561042386,16.056104475,16.0561047114,16.0561049478,16.0561051842,16.0561054206,16.056105657,16.0561058934,16.0560570417,16.0560103175,16.0559635934,16.0559168694,16.0558701455,16.0558234216,16.0557766977,16.0557299739,16.0556832502,16.0560374514,16.055971137,16.0559048226,16.0558385081,16.0557721937,16.0557058793,16.0556395649,16.0555732505,16.055506936,0,16.0560096486,16.05596259,16.0559155312,16.0558684724,16.0558214136,16.0557743547,16.0557272957,16.0556802367
88.5,16.0598631388,47.4524010102,0,0,0,0,259,259,259,259,259,259,259,259,259,259,259,101,101,101,101,101,101,101,259,259,259,259,259,101,101,101,101,260,260,260,260,260,260,260,260,260,260,260,260,101,101,101,101,101,187,260,260,260,101,101,101,101,101,187,0,260,260,260,260,260,260,260,101,544,545,545,546,547,547,548,549,549,544,545,545,545,545,546,546,546,546,544,545,545,545,544,544,544,544,544,543,544,544,544,544,544,544,544,544,544,545,545,545,545,545,546,546,547,544,545,545,546,546,546,546,547,548,0,544,544,545,545,545,546,546,546,47.4524329255,47.4524648406,47.4524967558,47.452528671,47.4525605861,47.4525925012,47.4526244163,47.4526563314,47.4526882465,47.4524011684,47.4524013265,47.4524014845,47.4524016425,47.4524018005,47.4524019585,47.4524021164,47.4524022742,47.4524024321,47.4523693187,47.4523376271,47.4523059355,47.4522742438,47.4522425522,47.4522108605,47.4521791688,47.4521474771,47.4521157854,47.4523560334,47.4523110567,47.4522660799,47.4522211031,47.4521761263,47.4521311495,47.4520861727,47.4520411959,47.4519962191,47.452369095,47.4523371798,47.4523052645,47.4522733492,47.4522414339,47.4522095186,47.4521776032,47.4521456878,47.4521137725,47.4524008521,47.4524006939,47.4524005356,47.4524003773,47.452400219,47.4524000606,47.4523999022,47.4523997438,47.4523995853,0,47.4524643933,47.4524960848,47.4525277763,47.4525594678,47.4525911592,47.4526228507,47.4526545421,47.4526862335,16.0599098622,16.0599565857,16.0600033093,16.0600500329,16.0600967566,16.0601434803,16.0601902041,16.0602369279,16.0602836518,16.0599294488,16.0599957589,16.0600620689,16.060128379,16.0601946891,16.0602609991,16.0603273092,16.0603936192,16.0604599293,16.0599101919,16.059957245,16.060004298,16.060051351,16.0600984039,16.0601454567,16.0601925095,16.0602395623,16.060286615,16.0598633719,16.0598636051,16.0598638383,16.0598640714,16.0598643046,16.0598645378,16.0598647709,16.0598650041,16.0598652373,16.0598164154,16.059769692,16.0597229688,16.0596762455,16.0596295224,16.0595827993,16.0595360762,16.0594893532,16.0594426303,16.0597968287,16.0597305186,16.0596642086,16.0595978985,16.0595315885,16.0594652784,16.0593989684,16.0593326583,16.0592663482,0,16.0597690323,16.059721979,16.0596749256,16.0596278722,16.0595808187,16.0595337652,16.0594867116,16.059439658
