STREAM_KM,LONGDD,LATDD,TopoWest,TopoSouth,TopoEast,Veg0_EMERG,Veg1_NE,Veg2_NE,Veg3_NE,Veg4_NE,Veg5_NE,Veg6_NE,Veg7_NE,Veg8_NE,Veg9_NE,Veg1_E,Veg2_E,Veg3_E,Veg4_E,Veg5_E,Veg6_E,Veg7_E,Veg8_E,Veg9_E,Veg1_SE,Veg2_SE,Veg3_SE,Veg4_SE,Veg5_SE,Veg6_SE,Veg7_SE,Veg8_SE,Veg9_SE,Veg1_S,Veg2_S,Veg3_S,Veg4_S,Veg5_S,Veg6_S,Veg7_S,Veg8_S,Veg9_S,Veg1_SW,Veg2_SW,Veg3_SW,Veg4_SW,Veg5_SW,Veg6_SW,Veg7_SW,Veg8_SW,Veg9_SW,Veg1_W,Veg2_W,Veg3_W,Veg4_W,Veg5_W,Veg6_W,Veg7_W,Veg8_W,Veg9_W,Veg1_NW,Veg2_NW,Veg3_NW,Veg4_NW,Veg5_NW,Veg6_NW,Veg7_NW,Veg8_NW,Veg9_NW,ELEV_V1_NE,ELEV_V2_NE,ELEV_V3_NE,ELEV_V4_NE,ELEV_V5_NE,ELEV_V6_NE,ELEV_V7_NE,ELEV_V8_NE,ELEV_V9_NE,ELEV_V1_E,ELEV_V2_E,ELEV_V3_E,ELEV_V4_E,ELEV_V5_E,ELEV_V6_E,ELEV_V7_E,ELEV_V8_E,ELEV_V9_E,ELEV_V1_SE,ELEV_V2_SE,ELEV_V3_SE,ELEV_V4_SE,ELEV_V5_SE,ELEV_V6_SE,ELEV_V7_SE,ELEV_V8_SE,ELEV_V9_SE,ELEV_V1_S,ELEV_V2_S,ELEV_V3_S,ELEV_V4_S,ELEV_V5_S,ELEV_V6_S,ELEV_V7_S,ELEV_V8_S,ELEV_V9_S,ELEV_V1_SW,ELEV_V2_SW,ELEV_V3_SW,ELEV_V4_SW,ELEV_V5_SW,ELEV_V6_SW,ELEV_V7_SW,ELEV_V8_SW,ELEV_V9_SW,ELEV_V1_W,ELEV_V2_W,ELEV_V3_W,ELEV_V4_W,ELEV_V5_W,ELEV_V6_W,ELEV_V7_W,ELEV_V8_W,ELEV_V9_W,ELEV_V1_NW,ELEV_V2_NW,ELEV_V3_NW,ELEV_V4_NW,ELEV_V5_NW,ELEV_V6_NW,ELEV_V7_NW,ELEV_V8_NW,ELEV_V9_NW,LAT_V1_NE,LAT_V2_NE,LAT_V3_NE,LAT_V4_NE,LAT_V5_NE,LAT_V6_NE,LAT_V7_NE,LAT_V8_NE,LAT_V9_NE,LAT_V1_E,LAT_V2_E,LAT_V3_E,LAT_V4_E,LAT_V5_E,LAT_V6_E,LAT_V7_E,LAT_V8_E,LAT_V9_E,LAT_V1_SE,LAT_V2_SE,LAT_V3_SE,LAT_V4_SE,LAT_V5_SE,LAT_V6_SE,LAT_V7_SE,LAT_V8_SE,LAT_V9_SE,LAT_V1_S,LAT_V2_S,LAT_V3_S,LAT_V4_S,LAT_V5_S,LAT_V6_S,LAT_V7_S,LAT_V8_S,LAT_V9_S,LAT_V1_SW,LAT_V2_SW,LAT_V3_SW,LAT_V4_SW,LAT_V5_SW,LAT_V6_SW,LAT_V7_SW,LAT_V8_SW,LAT_V9_SW,LAT_V1_W,LAT_V2_W,LAT_V3_W,LAT_V4_W,LAT_V5_W,LAT_V6_W,LAT_V7_W,LAT_V8_W,LAT_V9_W,LAT_V1_NW,LAT_V2_NW,LAT_V3_NW,LAT_V4_NW,LAT_V5_NW,LAT_V6_NW,LAT_V7_NW,LAT_V8_NW,LAT_V9_NW,LON_V1_NE,LON_V2_NE,LON_V3_NE,LON_V4_NE,LON_V5_NE,LON_V6_NE,LON_V7_NE,LON_V8_NE,LON_V9_NE,LON_V1_E,LON_V2_E,LON_V3_E,LON_V4_E,LON_V5_E,LON_V6_E,LON_V7_E,LON_V8_E,LON_V9_E,LON_V1_SE,LON_V2_SE,LON_V3_SE,LON_V4_SE,LON_V5_SE,LON_V6_SE,LON_V7_SE,LON_V8_SE,LON_V9_SE,LON_V1_S,LON_V2_S,LON_V3_S,LON_V4_S,LON_V5_S,LON_V6_S,LON_V7_S
89,16.0561037658,47.4558908474,28.610459666,15.4077036406,26.5650511771,0,187,101,101,101,101,101,101,101,101,249,249,187,101,101,101,101,101,101,0,0,0,249,260,260,260,260,260,249,249,187,187,160,160,160,160,160,133,187,160,160,160,160,160,160,160,133,187,187,160,160,160,160,160,160,0,109,109,109,109,109,109,187,187,187,101,101,101,101,101,101,101,101,249,249,187,101,101,101,101,101,101,0,0,0,249,260,260,260,260,260,249,249,187,187,160,160,160,160,160,133,187,160,160,160,160,160,160,160,133,187,187,160,160,160,160,160,160,0,109,109,109,109,109,109,187,187,47.4559227641,47.4559546808,47.4559865975,47.4560185141,47.4560504308,47.4560823474,47.456114264,47.4561461806,47.4561780972,47.4558910077,47.4558911679,47.4558913282,47.4558914884,47.4558916486,47.4558918087,47.4558919688,47.4558921288,47.4558922888,0,0,0,47.4557640872,47.4557323972,47.4557007071,47.455669017,47.4556373268,47.4556056367,47.4558458706,47.4558008939,47.4557559171,47.4557109404,47.4556659636,47.4556209869,47.4555760101,47.4555310334,47.4554860566,47.4558589306,47.4558270138,47.4557950971,47.4557631803,47.4557312634,47.4556993466,47.4556674297,47.4556355128,47.4556035959,47.455890687,47.4558905266,47.4558903662,47.4558902057,47.4558900452,47.4558898846,47.4558897241,47.4558895634,47.4558894028,0,47.4559542273,47.4559859172,47.4560176071,47.456049297,47.4560809869,47.4561126768,47.4561443666,47.4561760564,16.0561504901,16.0561972144,16.0562439388,16.0562906632,16.0563373876,16.0563841122,16.0564308368,16.0564775614,16.0565242861,16.0561700803,16.0562363947,16.0563027091,16.0563690235,16.056435338,16.0565016524,16.0565679668,16.0566342813,16.0567005957,0,0,0,16.0562919996,16.0563390578,16.0563861161,16.0564331743,16.0564802324,16.0565272904,16.0561040022,16.0561042386,16.056104475,16.0561047114,16.0561049478,16.0561051842,16.0561054206
88.95,16.0566554478,47.4556637425,25.5757404411,14.1876190193,21.8014094864,0,259,187,101,101,101,101,101,101,101,259,259,187,152,152,152,152,152,152,0,259,259,259,259,259,259,259,259,260,260,260,260,260,260,260,165,187,260,260,260,260,187,187,160,160,160,260,260,260,260,260,260,187,187,160,0,249,249,249,249,187,187,101,101,259,187,101,101,101,101,101,101,101,259,259,187,152,152,152,152,152,152,0,259,259,259,259,259,259,259,259,260,260,260,260,260,260,260,165,187,260,260,260,260,187,187,160,160,160,260,260,260,260,260,260,187,187,160,0,249,249,249,249,187,187,101,101,47.455695659,47.4557275755,47.4557594919,47.4557914084,47.4558233248,47.4558552412,47.4558871576,47.455919074,47.4559509903,47.4556639025,47.4556640624,47.4556642224,47.4556643822,47.4556645421,47.4556647019,47.4556648617,47.4556650214,47.4556651811,0,47.455600362,47.4555686717,47.4555369815,47.4555052911,47.4554736008,47.4554419105,47.4554102201,47.4553785297,47.4556187657,47.455573789,47.4555288122,47.4554838355,47.4554388587,47.455393882,47.4553489052,47.4553039285,47.4552589517,47.4556318259,47.4555999094,47.4555679928,47.4555360763,47.4555041597,47.455472243,47.4554403264,47.4554084097,47.4553764931,47.4556635824,47.4556634224,47.4556632622,47.4556631021,47.4556629419,47.4556627817,47.4556626214,47.4556624611,47.4556623008,0,47.4557271229,47.455758813,47.4557905032,47.4558221933,47.4558538834,47.4558855735,47.4559172636,47.4559489536,16.0567021722,16.0567488966,16.0567956211,16.0568423456,16.0568890702,16.0569357949,16.0569825196,16.0570292444,16.0570759692,16.0567217619,16.0567880761,16.0568543902,16.0569207044,16.0569870185,16.0570533327,16.0571196468,16.0571859609,16.0572522751,0,16.0567495637,16.0567966216,16.0568436794,16.0568907371,16.0569377948,16.0569848525,16.05703191,16.0570789676,16.0566556837,16.0566559196,16.0566561556,16.0566563915,16.0566566274,16.0566568634,16.0566570993
88.9,16.0569932914,47.4552775389,24.6586595873,14.7265206658,45,0,259,259,259,187,152,152,152,152,152,259,259,259,187,187,152,152,152,152,0,0,259,0,0,0,0,259,259,260,260,165,165,165,165,165,165,165,260,165,165,165,187,160,160,160,160,260,260,260,165,187,187,160,160,160,0,0,260,260,260,260,260,260,260,259,259,259,187,152,152,152,152,152,259,259,259,187,187,152,152,152,152,0,0,259,0,0,0,0,259,259,260,260,165,165,165,165,165,165,165,260,165,165,165,187,160,160,160,160,260,260,260,165,187,187,160,160,160,0,0,260,260,260,260,260,260,260,47.4553094553,47.4553413716,47.4553732879,47.4554052042,47.4554371205,47.4554690368,47.4555009531,47.4555328693,47.4555647855,47.4552776987,47.4552778585,47.4552780182,47.4552781779,47.4552783375,47.4552784971,47.4552786567,47.4552788162,47.4552789757,0,0,47.4551824677,0,0,0,0,47.4550240154,47.4549923249,47.4552325621,47.4551875854,47.4551426086,47.4550976319,47.4550526551,47.4550076784,47.4549627016,47.4549177248,47.4548727481,47.4552456225,47.4552137061,47.4551817897,47.4551498732,47.4551179568,47.4550860403,47.4550541238,47.4550222072,47.4549902907,47.455277379,47.4552772192,47.4552770593,47.4552768993,47.4552767393,47.4552765793,47.4552764192,47.4552762591,47.4552760989,0,0,47.4553726099,47.4554043002,47.4554359904,47.4554676807,47.4554993709,47.4555310611,47.4555627513,16.0570400156,16.0570867399,16.0571334643,16.0571801887,16.0572269132,16.0572736377,16.0573203623,16.0573670869,16.0574138116,16.057059605,16.0571259187,16.0571922323,16.057258546,16.0573248597,16.0573911733,16.057457487,16.0575238007,16.0575901143,0,0,16.0571344635,0,0,0,0,16.0573697492,16.0574168062,16.056993527,16.0569937626,16.0569939983,16.0569942339,16.0569944696,16.0569947052,16.0569949408
88.85,16.0573042635,47.4549167137,23.0731255036,15.175871479,16.8412057361,0,259,259,259,259,187,152,152,152,152,259,259,259,259,259,187,187,152,152,259,259,259,259,259,259,189,189,189,0,0,0,0,0,0,0,0,260,260,260,165,165,165,187,181,181,181,260,260,165,165,165,187,160,160,181,260,260,260,260,260,165,165,165,165,259,259,259,259,187,152,152,152,152,259,259,259,259,259,187,187,152,152,259,259,259,259,259,259,189,189,189,0,0,0,0,0,0,0,0,260,260,260,165,165,165,187,181,181,181,260,260,165,165,165,187,160,160,181,260,260,260,260,260,165,165,165,165,47.4549486299,47.4549805461,47.4550124623,47.4550443785,47.4550762947,47.4551082108,47.455140127,47.4551720431,47.4552039592,47.4549168733,47.4549170329,47.4549171924,47.4549173519,47.4549175114,47.4549176708,47.4549178302,47.4549179895,47.4549181489,47.4548850232,47.4548533326,47.4548216421,47.4547899515,47.454758261,47.4547265704,47.4546948798,47.4546631891,47.4546314985,0,0,0,0,0,0,0,0,47.4545119228,47.4548847974,47.4548528811,47.4548209648,47.4547890485,47.4547571321,47.4547252158,47.4546932994,47.454661383,47.4546294666,47.454916554,47.4549163943,47.4549162346,47.4549160748,47.454915915,47.4549157551,47.4549155952,47.4549154353,47.4549152753,47.4549484041,47.4549800946,47.455011785,47.4550434754,47.4550751658,47.4551068562,47.4551385466,47.4551702369,47.4552019273,16.0573509876,16.0573977118,16.057444436,16.0574911603,16.0575378846,16.057584609,16.0576313335,16.057678058,16.0577247825,16.0573705767,16.0574368899,16.0575032031,16.0575695163,16.0576358295,16.0577021427,16.0577684559,16.0578347691,16.0579010824,16.0573513204,16.0573983773,16.0574454341,16.0574924908,16.0575395475,16.0575866042,16.0576336607,16.0576807173,16.0577277737,0,0,0,0,0,0,0
88.8,16.0574031841,47.4544864972,25.4975514933,17.5357615384,45,0,259,259,189,189,189,189,189,187,187,259,259,189,189,188,188,188,188,188,0,259,259,259,259,259,259,259,259,260,260,260,187,187,160,160,160,160,260,187,181,181,181,160,160,160,160,260,187,187,181,181,181,181,181,181,0,0,260,260,165,187,187,187,181,259,259,189,189,189,189,189,187,187,259,259,189,189,188,188,188,188,188,0,259,259,259,259,259,259,259,259,260,260,260,187,187,160,160,160,160,260,187,181,181,181,160,160,160,160,260,187,187,181,181,181,181,181,181,0,0,260,260,165,187,187,187,181,47.4545184134,47.4545503296,47.4545822458,47.4546141619,47.454646078,47.4546779941,47.4547099102,47.4547418263,47.4547737424,47.4544866568,47.4544868163,47.4544869758,47.4544871352,47.4544872946,47.454487454,47.4544876133,47.4544877726,47.4544879319,0,47.4544231161,47.4543914255,47.4543597349,47.4543280443,47.4542963537,47.454264663,47.4542329723,47.4542012816,47.4544415204,47.4543965437,47.4543515669,47.4543065901,47.4542616134,47.4542166366,47.4541716599,47.4541266831,47.4540817063,47.454454581,47.4544226647,47.4543907485,47.4543588322,47.4543269159,47.4542949996,47.4542630832,47.4542311669,47.4541992505,47.4544863376,47.454486178,47.4544860183,47.4544858586,47.4544856988,47.454485539,47.4544853792,47.4544852193,47.4544850594,0,0,47.4545815687,47.4546132592,47.4546449496,47.45467664,47.4547083304,47.4547400208,47.4547717112,16.0574499079,16.0574966317,16.0575433556,16.0575900796,16.0576368036,16.0576835277,16.0577302518,16.057776976,16.0578237002,16.0574694967,16.0575358094,16.0576021221,16.0576684347,16.0577347474,16.0578010601,16.0578673727,16.0579336854,16.0579999981,0,16.057497297,16.0575443533,16.0575914096,16.0576384659,16.0576855221,16.0577325782,16.0577796343,16.0578266903,16.0574034193,16.0574036546,16.0574038899,16.0574041252,16.0574043605,16.0574045957,16.057404831
88.75,16.0577508232,47.4541034862,26.7915155294,18.0451876276,14.0362434679,0,259,259,101,101,188,188,188,188,188,259,259,259,101,101,101,101,101,101,0,0,0,0,0,0,260,260,260,260,260,260,101,187,187,125,160,160,260,260,187,160,160,160,160,125,125,260,260,187,160,160,160,160,160,160,0,260,260,260,260,260,260,187,187,259,259,101,101,188,188,188,188,188,259,259,259,101,101,101,101,101,101,0,0,0,0,0,0,260,260,260,260,260,260,101,187,187,125,160,160,260,260,187,160,160,160,160,125,125,260,260,187,160,160,160,160,160,160,0,260,260,260,260,260,260,187,187,47.4541354023,47.4541673183,47.4541992344,47.4542311504,47.4542630663,47.4542949823,47.4543268983,47.4543588142,47.4543907301,47.4541036456,47.4541038049,47.4541039642,47.4541041234,47.4541042826,47.4541044418,47.4541046009,47.45410476,47.4541049191,0,0,0,0,0,0,47.453881651,47.4538499602,47.4538182693,47.4540585094,47.4540135327,47.4539685559,47.4539235791,47.4538786024,47.4538336256,47.4537886488,47.4537436721,47.4536986953,47.4540715701,47.454039654,47.4540077379,47.4539758218,47.4539439056,47.4539119894,47.4538800732,47.453848157,47.4538162408,47.4541033268,47.4541031674,47.4541030079,47.4541028484,47.4541026888,47.4541025292,47.4541023696,47.45410221,47.4541020502,0,47.4541668675,47.4541985582,47.4542302488,47.4542619394,47.4542936299,47.4543253205,47.454357011,47.4543887015,16.0577975469,16.0578442706,16.0578909944,16.0579377183,16.0579844421,16.0580311661,16.0580778901,16.0581246142,16.0581713383,16.0578171354,16.0578834476,16.0579497598,16.058016072,16.0580823842,16.0581486964,16.0582150086,16.0582813208,16.058347633,0,0,0,0,0,0,16.0580802136,16.0581272691,16.0581743246,16.0577510582,16.0577512932,16.0577515282,16.0577517632,16.0577519982,16.0577522331,16.0577524681
88.7,16.0582544384,47.4538144606,23.0932029326,16.1372765617,26.5650511771,0,259,101,101,101,101,101,101,101,101,259,259,101,101,101,101,101,101,101,0,0,0,0,0,0,0,0,0,260,260,260,101,101,101,101,101,101,260,260,101,101,101,187,160,160,160,260,260,101,101,101,101,187,125,125,0,0,0,259,259,259,259,259,259,259,101,101,101,101,101,101,101,101,259,259,101,101,101,101,101,101,101,0,0,0,0,0,0,0,0,0,260,260,260,101,101,101,101,101,101,260,260,101,101,101,187,160,160,160,260,260,101,101,101,101,187,125,125,0,0,0,259,259,259,259,259,259,47.4538463764,47.4538782923,47.4539102081,47.4539421239,47.4539740397,47.4540059554,47.4540378712,47.4540697869,47.4541017026,47.4538146196,47.4538147787,47.4538149377,47.4538150966,47.4538152555,47.4538154144,47.4538155732,47.453815732,47.4538158908,0,0,0,0,0,0,0,0,0,47.4537694838,47.453724507,47.4536795303,47.4536345535,47.4535895767,47.4535445999,47.4534996232,47.4534546464,47.4534096696,47.4537825447,47.4537506288,47.4537187129,47.4536867969,47.453654881,47.453622965,47.453591049,47.453559133,47.4535272169,47.4538143015,47.4538141423,47.4538139831,47.4538138239,47.4538136646,47.4538135053,47.453813346,47.4538131866,47.4538130272,0,0,0,47.453941224,47.4539729148,47.4540046055,47.4540362963,47.454067987,47.4540996778,16.0583011621,16.0583478859,16.0583946097,16.0584413336,16.0584880576,16.0585347816,16.0585815056,16.0586282297,16.0586749539,16.0583207502,16.0583870621,16.0584533739,16.0585196857,16.0585859976,16.0586523094,16.0587186212,16.0587849331,16.0588512449,0,0,0,0,0,0,0,0,0,16.058254673,16.0582549075,16.0582551421,16.0582553766,16.0582556112,16.0582558457,16.0582560803
88.65,16.0587123249,47.4534894311,22.0316659006,11.8482662384,13.0358367701,0,259,259,101,101,101,101,101,101,101,259,259,259,101,101,101,101,101,101,0,0,0,0,0,0,0,0,259,260,260,260,101,101,101,101,101,101,260,260,101,101,101,101,101,187,160,260,260,260,101,101,101,101,101,187,0,0,0,0,0,0,0,0,0,259,259,101,101,101,101,101,101,101,259,259,259,101,101,101,101,101,101,0,0,0,0,0,0,0,0,259,260,260,260,101,101,101,101,101,101,260,260,101,101,101,101,101,187,160,260,260,260,101,101,101,101,101,187,0,0,0,0,0,0,0,0,0,47.4535213468,47.4535532624,47.4535851781,47.4536170937,47.4536490093,47.4536809249,47.4537128404,47.453744756,47.4537766715,47.4534895899,47.4534897486,47.4534899074,47.4534900661,47.4534902247,47.4534903833,47.4534905419,47.4534907004,47.4534908589,0,0,0,0,0,0,0,0,47.4532042106,47.4534444543,47.4533994775,47.4533545008,47.453309524,47.4532645472,47.4532195704,47.4531745936,47.4531296169,47.4530846401,47.4534575154,47.4534255997,47.4533936839,47.4533617682,47.4533298524,47.4532979366,47.4532660208,47.453234105,47.4532021891,47.4534892722,47.4534891134,47.4534889544,47.4534887955,47.4534886365,47.4534884775,47.4534883184,47.4534881593,47.4534880001,0,0,0,0,0,0,0,0,0,16.0587590486,16.0588057723,16.0588524962,16.05889922,16.058945944,16.058992668,16.059039392,16.0590861161,16.0591328403,16.0587786363,16.0588449477,16.0589112591,16.0589775706,16.059043882,16.0591101934,16.0591765048,16.0592428163,16.0593091277,0,0,0,0,0,0,0,0,16.0591358161,16.058712559,16.0587127932,16.0587130273,16.0587132615,16.0587134957,16.0587137298,16.058713964
88.6,16.059153735,47.4531543646,21.8398372334,18.4349488229,14.1800819428,0,259,259,101,101,101,101,101,101,101,259,259,101,101,101,101,101,101,101,0,0,0,259,259,259,259,259,259,260,260,260,101,101,101,101,101,101,260,260,101,101,101,101,101,101,187,260,260,101,101,101,101,101,101,101,0,0,0,260,0,260,0,260,260,259,259,101,101,101,101,101,101,101,259,259,101,101,101,101,101,101,101,0,0,0,259,259,259,259,259,259,260,260,260,101,101,101,101,101,101,260,260,101,101,101,101,101,101,187,260,260,101,101,101,101,101,101,101,0,0,0,260,0,260,0,260,260,47.4531862801,47.4532181956,47.453250111,47.4532820265,47.4533139419,47.4533458573,47.4533777727,47.4534096881,47.4534416034,47.4531545231,47.4531546817,47.4531548401,47.4531549986,47.4531551569,47.4531553153,47.4531554736,47.4531556319,47.4531557901,0,0,0,47.4530275994,47.452995908,47.4529642167,47.4529325253,47.4529008339,47.4528691424,47.4531093878,47.453064411,47.4530194343,47.4529744575,47.4529294807,47.4528845039,47.4528395271,47.4527945504,47.4527495736,47.4531224491,47.4530905335,47.453058618,47.4530267024,47.4529947868,47.4529628712,47.4529309556,47.4528990399,47.4528671242,47.453154206,47.4531540474,47.4531538887,47.45315373,47.4531535713,47.4531534125,47.4531532537,47.4531530948,47.453152936,0,0,0,47.4532811295,0,47.4533445118,0,47.4534078941,47.4534395852,16.0592004586,16.0592471824,16.0592939062,16.05934063,16.0593873539,16.0594340779,16.0594808019,16.059527526,16.0595742501,16.059220046,16.059286357,16.059352668,16.059418979,16.05948529,16.059551601,16.059617912,16.059684223,16.059750534,0,0,0,16.0593419516,16.0593890056,16.0594360595,16.0594831134,16.0595301673,16.0595772211,16.0591539687,16.0591542025,16.0591544363,16.0591546701,16.0591549038,16.0591551376,16.0591553714
88.55,16.0595585429,47.4527981275,22.4313926689,7.9917547594,13.971721221,0,259,101,101,101,101,101,101,101,101,259,259,101,101,101,101,101,101,101,0,259,259,259,259,259,259,259,259,260,260,260,260,260,101,101,101,101,260,260,101,101,101,101,101,187,187,260,260,260,101,101,101,101,101,101,0,0,0,260,260,260,260,260,260,259,101,101,101,101,101,101,101,101,259,259,101,101,101,101,101,101,101,0,259,259,259,259,259,259,259,259,260,260,260,260,260,101,101,101,101,260,260,101,101,101,101,101,187,187,260,260,260,101,101,101,101,101,101,0,0,0,260,260,260,260,260,260,47.4528300428,47.4528619582,47.4528938735,47.4529257887,47.452957704,47.4529896192,47.4530215345,47.4530534497,47.4530853648,47.4527982858,47.4527984441,47.4527986023,47.4527987605,47.4527989187,47.4527990768,47.4527992349,47.4527993929,47.4527995509,0,47.4527347446,47.4527030531,47.4526713616,47.4526396701,47.4526079786,47.452576287,47.4525445954,47.4525129038,47.4527531507,47.4527081739,47.4526631972,47.4526182204,47.4525732436,47.4525282668,47.45248329,47.4524383132,47.4523933364,47.4527662122,47.4527342968,47.4527023814,47.452670466,47.4526385505,47.4526066351,47.4525747196,47.4525428041,47.4525108886,47.4527979692,47.4527978108,47.4527976523,47.4527974939,47.4527973354,47.4527971768,47.4527970183,47.4527968596,47.452796701,0,0,0,47.4529248931,47.4529565844,47.4529882757,47.4530199671,47.4530516583,47.4530833496,16.0596052665,16.0596519901,16.0596987139,16.0597454377,16.0597921615,16.0598388854,16.0598856093,16.0599323333,16.0599790574,16.0596248534,16.059691164,16.0597574745,16.0598237851,16.0598900957,16.0599564062,16.0600227168,16.0600890273,16.0601553379,0,16.0596526502,16.0596997037,16.0597467572,16.0597938107,16.0598408641,16.0598879174,16.0599349707,16.0599820239,16.0595587763,16.0595590097,16.0595592432,16.0595594766,16.05955971,16.0595599434,16.0595601769
