Fkm,hydro_vel
89,0
88.95,0
88.9,0
88.85,0
88.8,0
88.75,0
88.7,0
88.65,0
88.6,0
88.55,0
88.5,0
88.45,0
88.4,0
88.35,0
88.3,0
88.25,0
88.2,0
88.15,0
88.1,0
88.05,0
88,0
87.95,0
87.9,0
87.85,0
87.8,0
87.75,0
87.7,0
87.65,0
87.6,0
87.55,0
87.5,0
87.45,0
87.4,0
87.35,0
87.3,0
87.25,0
87.2,0
87.15,0
87.1,0
87.05,0
87,0
86.95,0
86.9,0
86.85,0
86.8,0
86.75,0
86.7,0
86.65,0
86.6,0
86.55,0
86.5,0
86.45,0
86.4,0
86.35,0
86.3,0
86.25,0
86.2,0
86.15,0
86.1,0
86.05,0
86,0
85.95,0
85.9,0
85.85,0
85.8,0
85.75,0
85.7,0
85.65,0
85.6,0
85.55,0
85.5,0
85.45,0
85.4,0
85.35,0
85.3,0
85.25,0
85.2,0
85.15,0
85.1,0
85.05,0
85,0
84.95,0
84.9,0
84.85,0
84.8,0
84.75,0
84.7,0
84.65,0
84.6,0
84.55,0
84.5,0
84.45,0
84.4,0
84.35,0
84.3,0
84.25,0
84.2,0
84.15,0
84.1,0
84.05,0
84,0
83.95,0
83.9,0
83.85,0
83.8,0
83.75,0
83.7,0
83.65,0
83.6,0
83.55,0
83.5,0
83.45,0
83.4,0
83.35,0
83.3,0
83.25,0
83.2,0
83.15,0
83.1,0
83.05,0
83,0
82.95,0
82.9,0
82.85,0
82.8,0
82.75,0
82.7,0
82.65,0
82.6,0
82.55,0
82.5,0
82.45,0
82.4,0
82.35,0
82.3,0
82.25,0
82.2,0
82.15,0
82.1,0
82.05,0
82,0
81.95,0
81.9,0
81.85,0
81.8,0
81.75,0
81.7,0
81.65,0
81.6,0
81.55,0
81.5,0
81.45,0
81.4,0
81.35,0
81.3,0
81.25,0
81.2,0
81.15,0
81.1,0
81.05,0
81,0
80.95,0
80.9,0
80.85,0
80.8,0
80.75,0
80.7,0
80.65,0
80.6,0
80.55,0
80.5,0
80.45,0
80.4,0
80.35,0
80.3,0
80.25,0
80.2,0
80.15,0
80.1,0
80.05,0
80,0
79.95,0
79.9,0
79.85,0
79.8,0
79.75,0
79.7,0
79.65,0
79.6,0
79.55,0
79.5,0
79.45,0
79.4,0
79.35,0
79.3,0
79.25,0
79.2,0
79.15,0
79.1,0
79.05,0
79,0
78.95,0
78.9,0
78.85,0
78.8,0
78.75,0
78.7,0
78.65,0
78.6,0
78.55,0
78.5,0
78.45,0
78.4,0
78.35,0
78.3,0
78.25,0
78.2,0
78.15,0
78.1,0
78.05,0
78,0
77.95,0
77.9,0
77.85,0
77.8,0
77.75,0
77.7,0
77.65,0
77.6,0
77.55,0
77.5,0
77.45,0
77.4,0
77.35,0
77.3,0
77.25,0
77.2,0
77.15,0
77.1,0
77.05,0
77,0
76.95,0
76.9,0
76.85,0
76.8,0
76.75,0
76.7,0
76.65,0
76.6,0
76.55,0
76.5,0
76.45,0
76.4,0
76.35,0
76.3,0
76.25,0
76.2,0
76.15,0
76.1,0
76.05,0
76,0
75.95,0
75.9,0
75.85,0
75.8,0
75.75,0
75.7,0
75.65,0
75.6,0
75.55,0
75.5,0
75.45,0
75.4,0
75.35,0
75.3,0
75.25,0
75.2,0
75.15,0
75.1,0
75.05,0
75,0
74.95,0
74.9,0
74.85,0
74.8,0
74.75,0
74.7,0
74.65,0
74.6,0
74.55,0
74.5,0
74.45,0
74.4,0
74.35,0
