DateTime,#1     Inflow Rate (cms),#1     Inflow Temp (*C),#2     Inflow Rate (cms),#2     Inflow Temp (*C),#3     Inflow Rate (cms),#3     Inflow Temp (*C),#4     Inflow Rate (cms),#4     Inflow Temp (*C),#5     Inflow Rate (cms),#5     Inflow Temp (*C),#6     Inflow Rate (cms),#6     Inflow Temp (*C),#7     Inflow Rate (cms),#7     Inflow Temp (*C),#8     Inflow Rate (cms),#8     Inflow Temp (*C),#9     Inflow Rate (cms),#9     Inflow Temp (*C),#10     Inflow Rate (cms),#10     Inflow Temp (*C),#11     Inflow Rate (cms),#11     Inflow Temp (*C),#12     Inflow Rate (cms),#12     Inflow Temp (*C),#13    Inflow Rate (cms),#13    Inflow Temp (*C),#14   Inflow Rate (cms),#14    Inflow Temp (*C),#15    Inflow Rate (cms),#15    Inflow Temp (*C),#16    Inflow Rate (cms),#16    Inflow Temp (*C),#17    Inflow Rate (cms),#17    Inflow Temp (*C),#18    Inflow Rate (cms),#18    Inflow Temp (*C),#19    Inflow Rate (cms),#19    Inflow Temp (*C)
07/01/2013 0:00,0.1875333333,13.863,0.1875333333,13.363,0.1077777778,12.863,0.1034666667,13.063,0.1077777778,13.263,0.097,13.463,0.0431111111,13.663,0.194,13.863,0.097,14.063,0.0215555556,14.263,0.1077777778,14.463,0.5388888889,14.663,0.0862222222,15.863,1.7546584,15.7347,0.7393708,15.7079,1.0778,16.0205,0.6902,16.2685,2.1254216,16.1562,2.1254216,16.2828
07/01/2013 1:00,0.1875333333,13.863,0.1875333333,13.363,0.1077777778,12.863,0.1034666667,13.063,0.1077777778,13.263,0.097,13.463,0.0431111111,13.663,0.194,13.863,0.097,14.063,0.0215555556,14.263,0.1077777778,14.463,0.5388888889,14.663,0.0862222222,15.863,1.7546584,15.7773,0.7393708,15.6527,1.0778,15.886,0.6902,16.2324,2.1254216,16.0694,2.1254216,16.1872
07/01/2013 2:00,0.1875333333,13.666,0.1875333333,13.166,0.1077777778,12.666,0.1034666667,12.866,0.1077777778,13.066,0.097,13.266,0.0431111111,13.466,0.194,13.666,0.097,13.866,0.0215555556,14.066,0.1077777778,14.266,0.5388888889,14.466,0.0862222222,15.666,1.7546584,15.818,0.7393708,15.6093,1.0778,15.754,0.6902,16.1929,2.1254216,16.0053,2.1254216,16.0925
07/01/2013 3:00,0.1856,13.469,0.1856,12.969,0.1066666667,12.469,0.1024,12.669,0.1066666667,12.869,0.096,13.069,0.0426666667,13.269,0.192,13.469,0.096,13.669,0.0213333333,13.869,0.1066666667,14.069,0.5333333333,14.269,0.0853333333,15.469,1.7527862,15.8507,0.7385819,15.5765,1.07665,15.6293,0.6902,16.149,2.1231538,15.9429,2.1231538,15.9972
07/01/2013 4:00,0.1856,13.272,0.1856,12.772,0.1066666667,12.272,0.1024,12.472,0.1066666667,12.672,0.096,12.872,0.0426666667,13.072,0.192,13.272,0.096,13.472,0.0213333333,13.672,0.1066666667,13.872,0.5333333333,14.072,0.0853333333,15.272,1.7498558,15.8771,0.7373471,15.5559,1.07485,15.5218,0.6902,16.1045,2.1196042,15.8927,2.1196042,15.9108
07/01/2013 5:00,0.1856,13.075,0.1856,12.575,0.1066666667,12.075,0.1024,12.275,0.1066666667,12.475,0.096,12.675,0.0426666667,12.875,0.192,13.075,0.096,13.275,0.0213333333,13.475,0.1066666667,13.675,0.5333333333,13.875,0.0853333333,15.075,1.7491232,15.8928,0.7370384,15.5459,1.0744,15.4336,0.6902,16.0585,2.1187168,15.853,2.1187168,15.8348
07/01/2013 6:00,0.1856,12.976,0.1856,12.476,0.1066666667,11.976,0.1024,12.176,0.1066666667,12.376,0.096,12.576,0.0426666667,12.776,0.192,12.976,0.096,13.176,0.0213333333,13.376,0.1066666667,13.576,0.5333333333,13.776,0.0853333333,14.976,1.748472,15.8988,0.736764,15.5451,1.074,15.3656,0.6902,16.0093,2.117928,15.8099,2.117928,15.7752
07/01/2013 7:00,0.1856,12.976,0.1856,12.476,0.1066666667,11.976,0.1024,12.176,0.1066666667,12.376,0.096,12.576,0.0426666667,12.776,0.192,12.976,0.096,13.176,0.0213333333,13.376,0.1066666667,13.576,0.5333333333,13.776,0.0853333333,14.976,1.7477394,15.9084,0.7364553,15.5641,1.07355,15.3381,0.6902,15.9796,2.1170406,15.8135,2.1170406,15.7749
07/01/2013 8:00,0.1856,13.075,0.1856,12.575,0.1066666667,12.075,0.1024,12.275,0.1066666667,12.475,0.096,12.675,0.0426666667,12.875,0.192,13.075,0.096,13.275,0.0213333333,13.475,0.1066666667,13.675,0.5333333333,13.875,0.0853333333,15.075,1.7470068,15.9565,0.7361466,15.6075,1.0731,15.3671,0.6902,15.9777,2.1161532,15.9063,2.1161532,15.8645
07/01/2013 9:00,0.1836666667,13.666,0.1836666667,13.166,0.1055555556,12.666,0.1013333333,12.866,0.1055555556,13.066,0.095,13.266,0.0422222222,13.466,0.19,13.666,0.095,13.866,0.0211111111,14.066,0.1055555556,14.266,0.5277777778,14.466,0.0844444444,15.666,1.7446462,16.0338,0.7351519,15.6684,1.07165,15.4765,0.6902,15.9909,2.1132938,16.0188,2.1132938,16.0376
07/01/2013 10:00,0.1836666667,13.568,0.1836666667,13.068,0.1055555556,12.568,0.1013333333,12.768,0.1055555556,12.968,0.095,13.168,0.0422222222,13.368,0.19,13.568,0.095,13.768,0.0211111111,13.968,0.1055555556,14.168,0.5277777778,14.368,0.0844444444,15.568,1.7414716,16.0231,0.7338142,15.8198,1.0697,15.7409,0.6902,16.0571,2.1094484,16.2598,2.1094484,16.2308
07/01/2013 11:00,0.1836666667,13.863,0.1836666667,13.363,0.1055555556,12.863,0.1013333333,13.063,0.1055555556,13.263,0.095,13.463,0.0422222222,13.663,0.19,13.863,0.095,14.063,0.0211111111,14.263,0.1055555556,14.463,0.5277777778,14.663,0.0844444444,15.863,1.7405762,16.0257,0.7334369,16.0102,1.06915,16.0246,0.6902,16.1828,2.1083638,16.5352,2.1083638,16.4394
07/01/2013 12:00,0.1836666667,14.059,0.1836666667,13.559,0.1055555556,13.059,0.1013333333,13.259,0.1055555556,13.459,0.095,13.659,0.0422222222,13.859,0.19,14.059,0.095,14.259,0.0211111111,14.459,0.1055555556,14.659,0.5277777778,14.859,0.0844444444,16.059,1.7398436,16.0296,0.7331282,16.2314,1.0687,16.3682,0.6902,16.3373,2.1074764,16.9476,2.1074764,16.7415
07/01/2013 13:00,0.1836666667,14.255,0.1836666667,13.755,0.1055555556,13.255,0.1013333333,13.455,0.1055555556,13.655,0.095,13.855,0.0422222222,14.055,0.19,14.255,0.095,14.455,0.0211111111,14.655,0.1055555556,14.855,0.5277777778,15.055,0.0844444444,16.255,1.7390296,16.079,0.7327852,16.4928,1.0682,16.7784,0.6902,16.5401,2.1064904,17.2995,2.1064904,17.1703
