Stream_KM,Elevation,Gradient,BottomWidth,ChannelAngleZ ,Mannings_n,SedThermalConductivity,SedThermalDiffusivity,SedHyporheicThickness,%HyporheicExchange,Porosity
93,704,0.005,1.5,20,0.5,2,0.0064,0.1,0.01,0.4
92.95,705,0.005,1.5,20,0.5,2,0.0064,0.1,0.01,0.4
92.9,697,0.16,1.5,20,0.5,2,0.0064,0.1,0.01,0.4
92.85,694,0.06,1.5,20,0.5,2,0.0064,0.1,0.01,0.4
92.8,694,0.005,1.5,20,0.5,2,0.0064,0.1,0.01,0.4
92.75,691,0.06,1.5,20,0.5,2,0.0064,0.1,0.01,0.4
92.7,690,0.02,1.5,20,0.5,2,0.0064,0.1,0.01,0.4
92.65,688,0.04,1.5,20,0.5,2,0.0064,0.1,0.01,0.4
92.6,685,0.06,1.5,20,0.5,2,0.0064,0.1,0.01,0.4
92.55,687,0.005,1.5,20,0.5,2,0.0064,0.1,0.01,0.4
92.5,682,0.1,1.5,20,0.5,2,0.0064,0.1,0.01,0.4
92.45,680,0.04,1.5,20,0.5,2,0.0064,0.1,0.01,0.4
92.4,678,0.04,1.5,20,0.5,2,0.0064,0.1,0.01,0.4
92.35,677,0.02,1.5,20,0.5,2,0.0064,0.1,0.01,0.4
92.3,674,0.06,1.5,20,0.5,2,0.0064,0.1,0.01,0.4
92.25,673,0.02,1.5,20,0.5,2,0.0064,0.1,0.01,0.4
92.2,671,0.04,1.5,20,0.5,2,0.0064,0.1,0.01,0.4
92.15,670,0.02,1.5,20,0.5,2,0.0064,0.1,0.01,0.4
92.1,667,0.06,1.5,20,0.5,2,0.0064,0.1,0.01,0.4
92.05,667,0.005,1.5,20,0.5,2,0.0064,0.1,0.01,0.4
92,665,0.04,1.5,20,0.5,2,0.0064,0.1,0.01,0.4
91.95,662,0.06,1.5,20,0.5,2,0.0064,0.1,0.01,0.4
91.9,662,0.005,1.5,20,0.5,2,0.0064,0.1,0.01,0.4
91.85,661,0.02,1.5,20,0.5,2,0.0064,0.1,0.01,0.4
91.8,659,0.04,1.5,20,0.5,2,0.0064,0.1,0.01,0.4
91.75,657,0.04,1.5,20,0.5,2,0.0064,0.1,0.01,0.4
91.7,655,0.04,1.5,20,0.5,2,0.0064,0.1,0.01,0.4
91.65,654,0.02,1.5,20,0.5,2,0.0064,0.1,0.01,0.4
91.6,654,0.005,1.5,20,0.5,2,0.0064,0.1,0.01,0.4
